location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_PA_42035,2020-01-01,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,3.84,10.71,6.59,5.22,7.69,6.32,4.94,,19.5,,10.44,,,4.67,4.67,4.12,5.77,6.32,,4.67,5.22,21.14,6.87,5.49,5.49,5.49,4.12,37.34,4.39,6.04,4.67,,,-1.172222,-3.116667,3.483333,0.889,,-6.005556,69.93955
US_PA_42035,2020-01-02,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,7.25,7.52,6.98,10.74,7.25,8.86,6.44,9.13,13.96,6.71,7.52,,5.91,8.86,6.98,7.79,7.52,11.28,5.64,4.83,7.52,28.73,7.79,9.4,4.83,5.1,7.52,52.62,,4.56,9.13,,6.44,0.5,-5.283333,7.133333,0.0508,,-5.055556,66.72605
US_PA_42035,2020-01-03,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,5.88,5.35,4.28,11.77,8.82,4.55,8.29,4.81,21.13,,9.63,,6.15,9.09,4.28,6.42,5.35,6.95,,,5.35,32.9,5.08,9.89,5.08,4.55,6.15,49.74,,8.02,4.81,,4.28,5.927778,1.505556,8.172222,0.677333,,3.144444,82.460514
US_PA_42035,2020-01-04,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,6.68,8.07,,10.85,9.74,5.01,8.63,,19.76,4.45,13.91,,5.29,7.79,6.96,5.01,4.17,,3.9,5.84,8.9,36.45,7.24,8.35,,6.12,,40.62,8.63,10.02,,,,5.85,1.977778,9.272222,6.011333,,4.433333,90.693621
US_PA_42035,2020-01-05,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,6.32,7.96,4.94,10.16,11.26,,7.69,4.39,20.32,4.67,12.08,,4.12,10.71,5.77,,4.39,4.12,3.84,7.69,7.41,22.24,3.84,6.32,,6.32,6.32,47.23,5.77,7.14,4.12,6.32,4.12,-0.033333,-1.405556,5.188889,2.57175,,-5.177778,68.827699
US_PA_42035,2020-01-06,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,9.88,10.14,4.05,11.91,8.36,,7.6,,18.25,5.32,9.88,4.82,3.8,8.62,4.82,6.34,6.59,4.56,,7.35,7.35,29.9,8.62,6.84,4.05,,4.82,41.56,4.56,6.84,5.83,5.58,5.83,1.166667,-2.183333,4.694444,1.143,,-4.444444,66.37622
US_PA_42035,2020-01-07,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,6.26,9.77,5.51,12.02,9.51,6.76,6.01,,13.52,,13.52,,8.26,9.01,5.76,6.76,4.26,,,5.51,8.01,30.05,8.26,7.26,6.26,4.76,10.52,47.07,,9.01,6.76,4.01,6.51,-0.477778,-3.7,3.638889,0.381,30.48,-5.333333,69.783949
US_PA_42035,2020-01-08,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,,10.31,,12.32,6.54,7.04,8.8,3.77,16.85,5.28,6.29,3.52,6.04,11.82,6.79,6.29,,3.77,3.52,4.53,5.78,26.15,6.54,15.09,5.78,5.03,7.29,37.72,3.52,7.54,4.53,3.77,4.02,-2.877778,-7.038889,0.75,1.17475,30.48,-6.583333,75.678765
US_PA_42035,2020-01-09,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,4.08,10.72,4.59,11.23,6.63,5.1,6.12,4.08,18.11,4.59,8.93,3.57,6.38,20.41,5.1,7.65,,6.63,,6.89,9.7,32.66,6.12,16.84,,6.89,5.36,46.44,4.59,10.46,7.65,9.7,5.36,-6.6,-12.744444,-0.883333,0.677333,78.74,-12.894444,61.016155
US_PA_42035,2020-01-10,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,3.99,6.99,3.49,10.48,9.98,5.74,7.49,,15.72,4.24,9.23,4.49,6.49,11.48,5.49,4.74,3.99,4.74,4.74,,5.49,23.7,5.74,7.24,4.74,,7.98,37.93,,5.74,7.24,6.49,4.74,0.388889,-7.15,5.272222,0.4445,50.8,-4.538889,69.702523
