location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_SC_45023,2020-01-01,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,5.28,9.24,7.26,7.59,6.6,9.24,18.82,9.57,,11.88,,4.62,5.94,7.92,23.44,8.58,8.58,5.61,5.28,41.92,,12.21,7.59,7.333333,0.855556,13.916667,0.0,,-1.5,55.420864
US_SC_45023,2020-01-02,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,6.72,11.52,8.64,9.28,,,19.19,8.32,,8.64,7.68,,,10.88,23.99,6.4,13.12,,7.04,41.9,6.08,4.8,6.4,7.305556,2.822222,12.383333,0.0,,0.784722,64.683125
US_SC_45023,2020-01-03,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,6.03,7.61,10.15,5.07,4.76,,17.76,11.1,,7.29,,5.07,6.03,8.24,28.86,7.61,7.61,4.44,5.39,42.18,,4.44,,10.827778,6.011111,18.105556,5.799667,,9.173611,93.678396
US_SC_45023,2020-01-04,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,7.35,,8.02,5.34,5.34,,18.37,13.7,,8.35,,,6.01,7.35,26.05,6.68,9.35,6.01,,42.76,,5.68,6.35,14.544444,10.15,19.055556,11.938,,11.3125,82.871919
US_SC_45023,2020-01-05,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,8.3,10.29,10.95,8.63,9.96,10.29,16.93,8.63,,9.96,7.63,,,,25.23,5.31,5.97,,,40.16,,7.97,4.98,6.627778,0.111111,15.644444,1.49225,,-2.465278,53.976101
US_SC_45023,2020-01-06,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,,6.76,8.82,7.35,5.88,7.65,14.12,12.35,5.88,10.0,7.35,,5.59,12.94,26.47,,9.12,,5.59,36.77,4.71,7.35,7.35,7.538889,0.494444,16.538889,0.0,,-1.465278,54.356634
US_SC_45023,2020-01-07,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,4.48,5.88,10.35,7.55,5.32,6.71,14.55,11.19,,8.95,5.6,,4.48,9.23,25.74,7.55,4.2,,5.6,35.53,4.76,3.92,5.32,8.011111,1.855556,16.005556,0.0,,2.472222,69.410719
US_SC_45023,2020-01-08,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,,7.1,7.66,7.38,5.68,6.53,12.21,5.96,7.38,9.65,,4.54,4.54,9.37,20.72,8.52,8.23,,6.53,39.45,,9.65,4.54,6.627778,-0.833333,16.083333,0.8128,,-2.958333,51.768926
US_SC_45023,2020-01-09,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,4.93,13.04,11.01,7.82,5.22,8.11,11.01,5.51,4.93,8.69,5.79,4.64,4.64,8.4,28.4,8.11,6.38,4.35,6.95,38.54,4.06,11.59,4.06,7.077778,-0.494444,15.766667,0.0,,-2.527778,51.202474
US_SC_45023,2020-01-10,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,,5.9,9.84,5.34,,,13.49,6.74,5.06,7.03,5.62,,,6.46,23.04,5.9,5.62,,,36.53,6.18,8.99,4.78,11.005556,6.294444,16.3,0.0,,3.826389,62.332023
