location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_SC_45071,2020-01-01,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,4.63,12.9,,8.27,5.62,5.95,8.27,9.59,27.12,14.22,8.27,5.62,,4.96,6.95,5.95,8.27,10.59,23.15,5.62,6.62,,8.27,10.91,45.65,,,4.63,,4.96,7.605556,1.566667,13.611111,0.0,,-1.432099,53.758011
US_SC_45071,2020-01-02,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,4.49,4.79,,12.28,10.48,7.19,6.29,,27.56,12.88,,10.19,,5.99,,7.19,4.19,11.38,26.96,,6.89,4.79,,7.49,44.94,5.39,6.89,4.19,5.69,6.59,7.544444,4.033333,11.838889,0.0,,1.111111,65.431298
US_SC_45071,2020-01-03,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,6.73,11.12,,10.82,10.82,7.31,6.43,5.56,21.94,9.95,,5.56,,4.97,4.97,4.39,7.31,6.43,25.16,7.61,10.24,,7.9,7.61,58.5,4.68,6.43,4.68,,5.56,11.972222,6.65,19.316667,4.699,,10.475309,92.333976
US_SC_45071,2020-01-04,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,6.41,10.9,6.73,7.37,9.3,6.41,5.45,4.81,20.84,14.75,4.49,9.3,5.45,5.13,5.45,6.41,6.41,8.98,26.29,,6.41,,,4.49,40.39,,6.09,9.3,6.41,6.09,14.744444,10.622222,19.138889,26.035,,11.864198,83.428946
US_SC_45071,2020-01-05,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,,8.98,4.49,10.58,8.34,5.77,6.41,,19.88,10.9,8.66,12.19,4.81,,7.05,,5.13,8.66,26.61,,8.02,,5.45,4.81,41.69,,13.15,,5.13,7.38,6.527778,0.594444,14.172222,1.411111,,-1.62963,56.709469
US_SC_45071,2020-01-06,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,5.35,7.73,,10.7,8.62,4.46,8.03,5.95,19.03,7.14,5.95,12.19,5.95,6.54,,,,11.3,30.33,5.65,7.14,6.84,5.05,6.24,45.49,4.76,8.32,5.65,5.35,5.05,7.988889,1.611111,15.977778,0.0,,-0.228395,57.377003
US_SC_45071,2020-01-07,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,,11.63,,10.38,8.18,6.6,8.8,,22.01,12.89,4.72,14.15,5.66,,4.4,7.23,8.18,13.52,26.41,6.29,10.38,5.97,8.18,7.23,50.3,,6.92,7.55,6.92,4.72,8.738889,3.655556,15.594444,0.0,,3.432099,70.615418
US_SC_45071,2020-01-08,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,7.17,9.35,4.99,14.02,9.97,5.61,6.54,5.92,17.14,6.86,5.3,10.28,4.99,6.54,7.48,7.79,5.61,10.91,33.97,5.92,8.73,4.99,,6.86,52.98,8.73,14.34,8.41,4.67,5.61,6.794444,-0.261111,15.483333,0.3048,,-2.62963,52.488609
US_SC_45071,2020-01-09,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,8.22,12.48,7.3,13.69,5.17,10.96,,6.09,19.17,9.13,5.17,13.09,,6.39,4.87,,4.57,8.22,31.95,7.0,11.26,,5.17,8.52,43.21,5.17,15.21,7.3,5.17,7.61,8.044444,1.383333,15.805556,0.0,,-0.895062,54.465401
US_SC_45071,2020-01-10,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,8.03,8.03,,11.73,8.64,8.33,4.32,9.57,17.28,13.58,,12.35,,5.56,4.63,6.17,7.1,8.03,24.69,5.25,6.48,4.32,6.48,6.48,45.37,6.17,6.17,6.17,7.1,7.41,11.805556,8.644444,17.483333,0.381,,4.987654,63.537038
US_SC_45071,2020-01-11,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,6.03,9.2,,8.25,8.88,7.93,,,12.69,9.52,4.76,7.93,,,6.03,,4.76,6.98,27.91,8.56,6.66,,4.44,6.03,34.25,4.44,9.2,6.98,4.44,5.71,16.816667,12.316667,21.766667,0.3175,,15.537037,92.096806
US_SC_45071,2020-01-12,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,5.7,8.23,4.43,9.18,8.23,5.07,6.65,4.43,11.08,5.38,5.38,11.08,4.43,6.33,4.43,,,8.23,23.74,,6.96,,,7.6,50.97,,6.01,7.28,5.7,4.43,18.188889,14.211111,21.716667,6.1976,,15.734568,85.672638
