location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_SD_46027,2020-01-01,ChIJ-cDvQaiCj4cRgqayNnIF_SY,Q489273,geoId/46027,US,United States of America,SD,South Dakota,46027,Clay County,US,USA,2,,,,,,,14032,7007,7025,1452,2263,4310,1354,1123,1221,1248,646,415,1425464,42.92,-96.97,1079,78.866667,,,,9.51,13.07,18.42,,,17.83,,32.09,,-4.105556,-8.461111,2.022222,0.0,50.165,-6.728395,80.379713
US_SD_46027,2020-01-02,ChIJ-cDvQaiCj4cRgqayNnIF_SY,Q489273,geoId/46027,US,United States of America,SD,South Dakota,46027,Clay County,US,USA,2,,,,,,,14032,7007,7025,1452,2263,4310,1354,1123,1221,1248,646,415,1425464,42.92,-96.97,1079,78.866667,,,9.6,10.61,,19.7,,,22.23,,31.83,,0.661111,-3.183333,2.516667,0.056444,69.85,-1.179012,86.951357
US_SD_46027,2020-01-03,ChIJ-cDvQaiCj4cRgqayNnIF_SY,Q489273,geoId/46027,US,United States of America,SD,South Dakota,46027,Clay County,US,USA,2,,,,,,,14032,7007,7025,1452,2263,4310,1354,1123,1221,1248,646,415,1425464,42.92,-96.97,1079,78.866667,,,,,,12.73,8.32,,27.41,,38.67,,-0.961111,-3.977778,1.955556,0.0,59.69,-2.58642,88.61235
US_SD_46027,2020-01-04,ChIJ-cDvQaiCj4cRgqayNnIF_SY,Q489273,geoId/46027,US,United States of America,SD,South Dakota,46027,Clay County,US,USA,2,,,,,,,14032,7007,7025,1452,2263,4310,1354,1123,1221,1248,646,415,1425464,42.92,-96.97,1079,78.866667,,,11.11,17.21,,19.43,,,27.21,9.44,30.54,,-4.55,-11.344444,3.172222,0.290286,54.61,-7.345679,79.533638
US_SD_46027,2020-01-05,ChIJ-cDvQaiCj4cRgqayNnIF_SY,Q489273,geoId/46027,US,United States of America,SD,South Dakota,46027,Clay County,US,USA,2,,,,,,,14032,7007,7025,1452,2263,4310,1354,1123,1221,1248,646,415,1425464,42.92,-96.97,1079,78.866667,,,9.51,,9.01,10.01,,,17.01,,29.02,8.51,2.65,-1.394444,5.266667,0.0,45.72,-2.160494,70.039021
US_SD_46027,2020-01-06,ChIJ-cDvQaiCj4cRgqayNnIF_SY,Q489273,geoId/46027,US,United States of America,SD,South Dakota,46027,Clay County,US,USA,2,,,,,,,14032,7007,7025,1452,2263,4310,1354,1123,1221,1248,646,415,1425464,42.92,-96.97,1079,78.866667,,,6.91,6.1,8.54,10.57,,,29.67,6.1,35.36,,-1.272222,-5.166667,3.683333,0.0,40.64,-3.765432,82.520527
US_SD_46027,2020-01-07,ChIJ-cDvQaiCj4cRgqayNnIF_SY,Q489273,geoId/46027,US,United States of America,SD,South Dakota,46027,Clay County,US,USA,2,,,,,,,14032,7007,7025,1452,2263,4310,1354,1123,1221,1248,646,415,1425464,42.92,-96.97,1079,78.866667,,,6.77,6.37,6.37,10.35,6.77,6.37,22.7,,32.25,,-1.911111,-6.788889,2.938889,0.0762,30.48,-4.783951,80.118063
US_SD_46027,2020-01-08,ChIJ-cDvQaiCj4cRgqayNnIF_SY,Q489273,geoId/46027,US,United States of America,SD,South Dakota,46027,Clay County,US,USA,2,,,,,,,14032,7007,7025,1452,2263,4310,1354,1123,1221,1248,646,415,1425464,42.92,-96.97,1079,78.866667,,,8.05,6.44,10.06,,,,32.59,6.84,34.2,17.3,-7.988889,-11.822222,-0.711111,0.0,30.48,-12.895062,65.874365
US_SD_46027,2020-01-09,ChIJ-cDvQaiCj4cRgqayNnIF_SY,Q489273,geoId/46027,US,United States of America,SD,South Dakota,46027,Clay County,US,USA,2,,,,,,,14032,7007,7025,1452,2263,4310,1354,1123,1221,1248,646,415,1425464,42.92,-96.97,1079,78.866667,,,,5.99,8.38,12.37,,,24.75,5.99,35.53,10.78,-2.261111,-8.322222,1.205556,0.0,40.64,-6.320988,72.400897
US_SD_46027,2020-01-10,ChIJ-cDvQaiCj4cRgqayNnIF_SY,Q489273,geoId/46027,US,United States of America,SD,South Dakota,46027,Clay County,US,USA,2,,,,,,,14032,7007,7025,1452,2263,4310,1354,1123,1221,1248,646,415,1425464,42.92,-96.97,1079,78.866667,,,,8.02,,11.39,6.33,,25.73,,27.42,7.17,-6.705556,-12.594444,-1.761111,0.0,40.64,-9.481481,79.193297
