location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47017,2020-01-01,ChIJv34z6V2Le4gRQGMsQBIHzMI,Q494905,geoId/47017,US,United States of America,TN,Tennessee,47017,Carroll County,US,USA,2,,,,,,,27807,13569,14238,3275,3580,3434,2834,3328,3944,3600,2478,1334,1847612,35.98,-88.45,1554,74.442857,,,,,9.52,11.42,8.56,,10.94,20.46,,,25.69,,,47.58,8.56,,4.32716,-1.290123,11.82716,0.0,,-3.018519,58.96696
US_TN_47017,2020-01-02,ChIJv34z6V2Le4gRQGMsQBIHzMI,Q494905,geoId/47017,US,United States of America,TN,Tennessee,47017,Carroll County,US,USA,2,,,,,,,27807,13569,14238,3275,3580,3434,2834,3328,3944,3600,2478,1334,1847612,35.98,-88.45,1554,74.442857,,,,,,12.92,7.75,,6.46,16.36,,13.78,31.01,9.04,,51.24,,6.46,9.41358,6.82716,11.925926,1.651,,3.987654,68.947696
US_TN_47017,2020-01-03,ChIJv34z6V2Le4gRQGMsQBIHzMI,Q494905,geoId/47017,US,United States of America,TN,Tennessee,47017,Carroll County,US,USA,2,,,,,,,27807,13569,14238,3275,3580,3434,2834,3328,3944,3600,2478,1334,1847612,35.98,-88.45,1554,74.442857,,,,,9.63,12.7,6.57,7.44,8.32,19.7,17.95,10.94,31.96,9.19,13.57,45.09,11.38,,12.527778,11.111111,14.4,11.486444,,12.316667,98.635486
US_TN_47017,2020-01-04,ChIJv34z6V2Le4gRQGMsQBIHzMI,Q494905,geoId/47017,US,United States of America,TN,Tennessee,47017,Carroll County,US,USA,2,,,,,,,27807,13569,14238,3275,3580,3434,2834,3328,3944,3600,2478,1334,1847612,35.98,-88.45,1554,74.442857,,,,,10.68,8.36,,10.21,,15.79,12.54,11.61,26.47,9.75,,48.76,9.29,,6.244444,2.811111,12.15,3.019778,,3.75,84.162114
US_TN_47017,2020-01-05,ChIJv34z6V2Le4gRQGMsQBIHzMI,Q494905,geoId/47017,US,United States of America,TN,Tennessee,47017,Carroll County,US,USA,2,,,,,,,27807,13569,14238,3275,3580,3434,2834,3328,3944,3600,2478,1334,1847612,35.98,-88.45,1554,74.442857,,,,,,13.52,8.39,8.39,,25.65,12.12,7.93,28.91,10.73,7.0,44.77,,8.39,4.333333,-1.549383,14.555556,0.141111,,-0.277778,72.033925
US_TN_47017,2020-01-06,ChIJv34z6V2Le4gRQGMsQBIHzMI,Q494905,geoId/47017,US,United States of America,TN,Tennessee,47017,Carroll County,US,USA,2,,,,,,,27807,13569,14238,3275,3580,3434,2834,3328,3944,3600,2478,1334,1847612,35.98,-88.45,1554,74.442857,,,,,7.63,13.02,6.73,,,11.22,10.32,8.08,44.89,6.73,12.12,46.69,7.63,10.32,6.161111,-0.511111,11.927778,0.0,,0.188889,65.843811
US_TN_47017,2020-01-07,ChIJv34z6V2Le4gRQGMsQBIHzMI,Q494905,geoId/47017,US,United States of America,TN,Tennessee,47017,Carroll County,US,USA,2,,,,,,,27807,13569,14238,3275,3580,3434,2834,3328,3944,3600,2478,1334,1847612,35.98,-88.45,1554,74.442857,,,,,6.04,13.7,,8.06,7.25,18.94,12.9,16.52,43.52,7.66,7.66,52.79,12.09,5.64,6.788889,0.85,11.205556,0.0,,-1.594444,55.334361
US_TN_47017,2020-01-08,ChIJv34z6V2Le4gRQGMsQBIHzMI,Q494905,geoId/47017,US,United States of America,TN,Tennessee,47017,Carroll County,US,USA,2,,,,,,,27807,13569,14238,3275,3580,3434,2834,3328,3944,3600,2478,1334,1847612,35.98,-88.45,1554,74.442857,,,,,5.76,14.22,,7.68,9.61,15.37,11.14,6.92,38.04,6.53,9.99,43.42,13.06,8.07,5.966667,-0.311111,14.288889,0.0,,-2.45,54.832156
US_TN_47017,2020-01-09,ChIJv34z6V2Le4gRQGMsQBIHzMI,Q494905,geoId/47017,US,United States of America,TN,Tennessee,47017,Carroll County,US,USA,2,,,,,,,27807,13569,14238,3275,3580,3434,2834,3328,3944,3600,2478,1334,1847612,35.98,-88.45,1554,74.442857,,,,,9.82,13.22,12.46,6.42,9.06,12.46,12.46,11.71,34.36,6.04,10.95,38.14,15.11,,9.444444,4.35,15.716667,0.0,,-1.0,48.14899
US_TN_47017,2020-01-10,ChIJv34z6V2Le4gRQGMsQBIHzMI,Q494905,geoId/47017,US,United States of America,TN,Tennessee,47017,Carroll County,US,USA,2,,,,,,,27807,13569,14238,3275,3580,3434,2834,3328,3944,3600,2478,1334,1847612,35.98,-88.45,1554,74.442857,,,,,9.34,8.22,7.1,8.97,8.6,10.47,9.34,11.59,22.8,,6.73,37.38,7.1,6.35,16.016667,13.966667,18.722222,0.2794,,9.888889,67.386483
