location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47107,2020-01-01,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,4.46,8.3,6.68,13.17,9.93,6.28,,7.09,4.86,,,19.85,3.65,11.14,4.25,8.1,10.53,6.08,,5.67,3.85,3.65,4.86,6.89,3.44,6.08,29.78,6.89,3.24,8.71,4.25,4.25,5.67,3.85,43.15,,6.08,6.89,4.46,3.65,,5.27,4.024691,-1.716049,10.617284,0.0,,-3.708333,56.429363
US_TN_47107,2020-01-02,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,4.69,9.75,5.44,14.44,7.31,5.25,3.56,6.0,4.69,3.0,2.62,23.81,3.94,14.25,3.37,3.94,10.31,6.19,5.06,5.44,3.94,6.94,4.12,9.0,4.5,9.0,27.56,5.25,5.44,8.81,,5.25,6.0,4.87,46.12,4.12,7.12,6.37,4.5,6.94,4.12,,5.32716,0.777778,9.240741,4.66725,,0.826389,73.319278
US_TN_47107,2020-01-03,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,4.51,8.45,4.13,10.89,8.07,4.51,,7.51,5.45,4.69,3.0,21.78,3.75,13.33,5.07,4.13,9.2,5.45,5.45,4.88,4.13,4.32,4.13,7.51,4.51,10.7,25.16,5.45,3.0,8.45,3.94,4.69,5.07,7.13,46.0,5.82,6.01,7.32,5.07,5.26,3.94,4.69,10.617284,6.17284,13.62963,39.3065,,9.895833,94.719425
US_TN_47107,2020-01-04,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,6.92,9.09,5.53,11.46,8.89,3.95,,4.55,3.56,3.36,3.75,19.96,4.94,9.88,3.75,5.14,8.5,6.52,3.75,6.92,6.13,6.33,4.94,7.71,2.96,7.12,28.07,5.93,3.95,6.92,3.56,6.52,6.33,6.72,44.27,4.74,7.12,5.73,3.56,4.94,,,10.055556,2.876543,13.462963,11.557,,7.576389,82.834258
US_TN_47107,2020-01-05,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,5.36,9.69,,14.64,6.39,5.57,,5.16,4.74,,3.09,18.97,3.92,12.79,,4.54,11.55,,3.09,4.95,7.42,4.33,4.74,4.74,3.51,8.04,29.28,5.77,3.92,7.63,,3.71,5.36,5.36,38.97,7.01,8.66,7.01,5.98,6.39,3.09,,3.882716,-0.240741,10.993827,1.36525,,-2.569444,61.820128
US_TN_47107,2020-01-06,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,5.24,8.35,4.08,12.81,8.93,5.63,3.69,6.02,5.24,6.21,,20.18,4.08,14.17,4.27,5.24,9.9,,3.49,4.66,5.05,6.02,4.66,6.4,4.85,9.31,28.53,11.06,3.88,10.67,3.3,5.43,6.02,9.51,45.8,7.37,7.96,8.54,5.82,6.21,5.05,4.85,4.790123,-1.95679,13.697531,0.0,,-1.951389,61.534201
US_TN_47107,2020-01-07,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,6.29,8.06,5.11,13.75,5.7,7.86,3.54,8.65,4.13,3.54,2.95,19.45,3.54,14.93,6.48,3.93,10.61,6.88,3.93,6.29,7.27,3.73,5.89,6.29,3.14,10.22,26.53,8.45,2.75,7.47,4.13,4.72,6.29,5.3,51.09,4.32,7.86,6.88,6.48,5.7,3.54,4.32,7.32716,1.728395,11.740741,4.92125,,0.131944,60.061572
US_TN_47107,2020-01-08,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,5.55,7.54,3.17,10.11,12.69,8.13,5.95,7.34,3.57,6.94,2.97,24.39,5.16,11.5,4.56,5.95,12.49,5.55,3.17,5.55,6.34,4.56,4.96,4.96,3.77,10.11,37.08,6.94,5.16,8.13,,5.16,7.14,7.34,47.59,,11.1,7.54,6.15,6.15,3.17,,5.516667,-0.983333,13.805556,0.9144,,-3.074074,53.56313
US_TN_47107,2020-01-09,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,5.93,5.14,3.16,14.63,9.69,7.51,3.56,8.31,5.14,4.35,6.13,19.18,3.36,13.05,3.36,7.32,14.83,5.74,3.56,6.92,5.74,5.14,4.35,5.14,3.96,10.48,42.12,9.1,5.34,10.28,3.56,5.14,5.34,5.34,47.47,5.14,12.26,4.55,7.51,6.53,4.35,4.55,5.155556,-2.272222,14.822222,0.0,,-1.734568,61.256269
US_TN_47107,2020-01-10,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,5.47,6.45,5.08,9.57,7.42,7.81,7.23,5.67,3.52,,3.12,18.36,,13.09,3.91,6.64,10.35,5.27,,6.05,7.03,5.27,3.52,4.69,4.1,9.77,32.42,8.79,4.49,13.67,,4.49,8.2,7.03,46.68,5.27,8.4,6.45,6.05,3.12,2.73,4.69,13.427778,10.355556,17.827778,0.0,,5.864198,60.129857
