location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47123,2020-01-01,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,5.96,7.95,,13.66,7.7,6.46,,,19.88,4.47,11.18,5.71,4.97,7.95,5.22,5.47,4.97,3.73,5.22,5.22,10.19,23.35,3.98,9.44,,5.22,6.21,41.74,4.22,6.21,4.72,3.48,4.22,4.472222,-1.416667,10.972222,0.0,,-3.877778,54.953578
US_TN_47123,2020-01-02,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,7.9,7.9,4.18,6.74,11.85,7.9,4.65,3.95,23.01,,10.92,3.25,,13.25,5.81,5.81,5.81,5.58,3.49,7.67,9.99,29.98,6.97,13.02,6.97,,6.97,46.71,4.65,6.74,6.04,3.25,5.11,4.877778,0.377778,8.988889,4.66725,,0.694444,74.869873
US_TN_47123,2020-01-03,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,7.29,8.47,5.41,11.53,8.47,5.41,8.47,4.24,22.35,,12.47,,,11.53,6.12,3.76,5.88,4.47,3.53,,6.59,28.94,8.23,9.65,,4.47,5.41,46.11,4.94,8.71,4.24,4.71,5.65,10.511111,6.044444,13.705556,34.00425,,9.755556,95.130547
US_TN_47123,2020-01-04,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,7.75,6.06,5.09,10.18,11.14,7.51,7.03,4.6,17.93,3.88,12.11,4.6,6.3,10.9,5.09,4.36,3.63,5.33,,7.51,7.75,26.17,7.03,8.96,,4.85,3.63,42.16,4.85,7.03,7.03,6.54,8.24,10.244444,2.916667,13.344444,8.8265,,7.588889,83.737275
US_TN_47123,2020-01-05,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,8.47,9.22,5.73,10.46,11.21,7.97,7.22,5.23,20.18,4.73,11.46,,5.48,7.97,6.48,5.23,4.73,3.49,6.23,,5.48,25.41,6.73,8.22,,,6.23,44.59,,6.23,7.22,,5.73,4.033333,0.161111,10.944444,0.60325,,-2.711111,61.604084
US_TN_47123,2020-01-06,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,5.04,8.89,5.77,12.01,9.37,7.93,5.04,5.53,16.1,5.29,10.57,3.36,3.84,9.85,6.01,5.53,,4.57,4.32,4.8,9.61,24.5,5.77,7.45,6.01,5.77,5.29,45.17,6.97,7.69,7.21,3.84,5.77,4.75,-2.038889,13.894444,0.0,,-2.144444,61.300492
US_TN_47123,2020-01-07,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,3.95,7.24,3.07,10.1,7.46,7.24,9.22,5.49,17.78,4.17,9.0,3.73,3.29,10.32,3.07,5.49,5.71,7.46,4.17,7.46,9.88,29.85,6.37,7.24,,7.24,5.49,41.92,3.51,9.88,6.58,6.37,7.24,7.044444,1.466667,11.7,4.92125,,0.083333,61.67756
US_TN_47123,2020-01-08,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,7.93,9.91,3.74,9.91,7.05,5.29,4.62,5.07,14.31,4.41,9.47,4.41,6.83,12.77,3.74,5.95,4.62,4.62,4.84,,10.57,35.9,5.29,7.71,,4.41,10.57,44.05,3.74,10.13,6.61,5.95,3.96,5.194444,-1.711111,14.016667,0.3556,,-3.505556,53.704615
US_TN_47123,2020-01-09,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,5.44,8.7,,12.19,7.4,9.14,5.0,4.79,13.06,4.35,10.45,4.79,6.75,9.57,5.44,7.4,4.35,5.0,5.66,3.7,10.88,36.12,6.09,9.79,3.48,5.44,6.09,44.17,4.35,8.7,7.83,4.57,6.09,4.738889,-2.594444,14.7,0.0,,-1.766667,63.3111
US_TN_47123,2020-01-10,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,4.31,8.19,3.45,9.7,6.89,8.19,6.03,3.45,20.04,,10.56,3.23,5.39,7.97,5.6,4.74,6.25,4.74,5.82,6.89,8.19,29.52,6.89,9.91,4.09,4.52,5.82,46.53,6.68,8.83,4.96,4.09,4.96,13.15,9.405556,18.038889,0.0,,5.538889,60.334532
