location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48067,2020-01-01,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,9.32,11.98,,16.87,12.87,7.54,24.41,,46.16,8.88,5.183333,0.288889,11.861111,0.0,,-0.816667,65.617234
US_TX_48067,2020-01-02,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,9.04,12.06,,18.52,11.63,13.78,29.72,6.46,48.67,,11.455556,9.122222,14.588889,2.6416,,8.288889,80.996092
US_TX_48067,2020-01-03,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,7.34,12.1,6.48,17.28,10.8,10.37,30.68,,37.59,,13.944444,11.505556,17.444444,8.3312,,11.844444,87.202779
US_TX_48067,2020-01-04,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,19.92,9.51,,17.21,,9.51,28.07,,39.4,8.6,8.661111,1.95,15.061111,0.0,,1.316667,60.096093
US_TX_48067,2020-01-05,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,8.08,9.87,,13.91,8.08,,22.88,9.42,39.03,,9.138889,1.322222,21.622222,0.0,,1.338889,58.379529
US_TX_48067,2020-01-06,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,10.68,11.53,6.41,14.52,14.95,8.54,19.64,12.38,36.3,6.41,11.455556,3.833333,20.344444,0.0,,4.466667,62.363385
US_TX_48067,2020-01-07,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,8.55,13.22,8.17,10.5,8.55,10.11,15.55,6.22,35.0,7.39,10.172222,1.944444,17.411111,0.0,,-1.461111,44.383593
US_TX_48067,2020-01-08,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,7.61,8.75,5.71,11.41,13.69,10.27,32.71,5.71,41.08,8.75,7.266667,-0.761111,18.65,0.0,,-2.172222,51.486978
US_TX_48067,2020-01-09,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,9.42,10.51,6.52,19.21,13.41,10.87,31.17,8.7,37.33,14.14,13.505556,9.361111,19.733333,0.0,,7.838889,68.82946
US_TX_48067,2020-01-10,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,,7.79,,9.91,8.5,10.27,24.79,,32.22,,19.355556,17.516667,22.522222,0.3302,,16.444444,83.352784
