location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48117,2020-01-01,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,,18.12,,29.28,,34.85,,4.144444,-3.988889,15.705556,0.0,,-6.518519,46.077628
US_TX_48117,2020-01-02,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,10.51,23.65,9.85,23.65,,38.1,,5.738889,-0.694444,13.416667,0.15875,,-3.87037,50.784822
US_TX_48117,2020-01-03,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,11.07,16.61,,21.53,,38.76,,3.616667,-2.238889,10.133333,1.016,,-1.888889,68.101983
US_TX_48117,2020-01-04,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,,15.01,,24.3,,38.59,,3.883333,-3.711111,16.127778,0.1524,,-4.759259,53.240688
US_TX_48117,2020-01-05,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,,21.38,10.69,22.05,,44.76,10.69,6.894444,-2.75,14.55,0.0,,-4.820988,43.102767
US_TX_48117,2020-01-06,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,,,11.12,22.85,10.5,46.94,,3.788889,-3.655556,12.411111,0.0,,-6.462963,47.120916
US_TX_48117,2020-01-07,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,8.67,9.18,9.69,19.89,,36.2,,3.761111,-5.327778,16.727778,0.0,,-10.061728,36.19083
US_TX_48117,2020-01-08,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,12.21,16.12,,32.74,9.77,32.25,16.61,4.894444,-4.95,16.75,0.0,,-10.222222,32.534381
US_TX_48117,2020-01-09,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,,13.3,17.73,32.02,,35.46,18.23,7.444444,-2.666667,16.055556,0.0,,-7.04321,35.781221
US_TX_48117,2020-01-10,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,,7.19,,25.39,9.1,38.81,11.02,5.8,0.05,14.294444,0.0,,-5.604938,44.322418
US_TX_48117,2020-01-11,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,,18.58,,19.91,,39.15,10.62,-0.777778,-9.194444,10.572222,1.524,30.48,-6.166667,67.639278
US_TX_48117,2020-01-12,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,,30.81,,24.51,,42.01,,3.927778,-6.933333,12.705556,0.0254,,-8.580247,39.70849
US_TX_48117,2020-01-13,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,,,,22.12,,32.95,,5.161111,-4.372222,18.744444,0.0,,-9.5,33.81598
US_TX_48117,2020-01-14,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,,15.96,10.64,32.9,12.58,30.96,7.26,6.872222,-4.561111,20.522222,0.0,,-9.512346,30.433314
US_TX_48117,2020-01-15,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,7.28,14.56,12.13,28.15,,32.52,10.68,7.105556,0.783333,15.744444,0.0,,-9.253086,30.827647
US_TX_48117,2020-01-16,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,,9.95,11.38,22.75,,36.97,,0.622222,-2.2,8.377778,1.439333,,-5.746914,63.574927
US_TX_48117,2020-01-17,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,,,8.03,16.53,,29.75,,1.872222,-2.15,12.166667,5.164667,,0.368056,89.940283
US_TX_48117,2020-01-18,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,11.95,,,30.23,,28.83,,3.388889,-3.722222,11.172222,0.127,,-4.895062,55.756554
US_TX_48117,2020-01-19,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,,12.83,,22.29,,41.87,,0.5,-5.661111,8.294444,0.0,,-5.950617,61.707525
US_TX_48117,2020-01-20,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,,,14.22,34.38,8.89,49.19,,2.227778,-5.727778,11.311111,0.0,,-4.62963,60.971012
US_TX_48117,2020-01-21,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,10.21,17.5,11.67,33.06,,30.15,,3.6,-1.977778,9.611111,0.0,,-3.061728,62.596333
US_TX_48117,2020-01-22,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,10.83,16.24,,22.14,7.38,39.37,,5.605556,1.133333,13.9,2.159,,1.691358,76.909791
US_TX_48117,2020-01-23,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,7.92,16.78,,30.3,,35.89,7.46,4.644444,-0.594444,12.483333,0.3302,,-2.722222,59.212485
US_TX_48117,2020-01-24,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,,23.2,,25.57,,32.2,,2.511111,-5.016667,13.483333,0.0,,-5.17284,56.847558
US_TX_48117,2020-01-25,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,15.43,24.54,,32.26,,45.58,,6.55,-3.272222,17.022222,0.0,,-2.067901,54.294317
US_TX_48117,2020-01-26,ChIJN3ODW3e7A4cRfTRhqEpDufM,Q109804,geoId/48117,US,United States of America,TX,Texas,48117,Deaf Smith County,US,USA,2,,,,,,,18753,9317,9436,3325,3143,2607,2274,2096,2023,1750,898,637,1809595,34.97,-102.6,3878,78.35,,,,,,11.4,22.8,,25.97,,49.41,,5.266667,-2.972222,16.677778,0.0,,-3.277778,54.10209
