location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_autoimmune_disease,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_bruise,search_trends_burn,search_trends_candidiasis,search_trends_chest_pain,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_dizziness,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_hypothyroidism,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_panic_attack,search_trends_paresthesia,search_trends_perspiration,search_trends_psychosis,search_trends_scar,search_trends_sinusitis,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48213,2020-01-01,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,2.85,6.99,8.13,6.28,12.98,,7.27,4.71,2.28,2.42,2.0,8.27,5.28,2.85,2.0,2.71,3.28,2.14,2.42,24.39,4.28,16.97,3.42,2.71,4.42,,9.7,4.14,,2.71,3.56,4.99,7.27,3.42,3.85,5.28,,4.56,,6.13,8.13,,29.09,5.7,3.42,8.84,5.85,3.99,4.85,3.0,5.56,7.56,42.93,,3.28,,,,4.14,4.85,6.7,2.28,2.42,3.42,2.28,7.56,3.71,6.56,3.0,4.14,4.56,4.28,6.444444,1.516667,11.905556,3.8354,-0.981481,59.70404
US_TX_48213,2020-01-02,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,3.2,6.4,8.91,5.57,13.37,2.78,9.33,8.07,3.06,4.04,3.2,7.24,5.85,,4.32,2.23,,5.99,2.23,24.92,4.18,15.87,3.62,2.37,2.92,1.95,10.44,4.59,,4.04,3.9,6.26,7.24,3.34,5.15,3.62,,3.06,3.06,4.18,10.02,2.23,30.91,7.1,3.34,8.21,3.48,4.73,5.57,3.48,2.92,5.57,44.27,,3.48,,2.51,4.59,3.2,5.85,5.99,2.09,2.65,4.04,5.43,8.35,5.57,6.82,3.48,4.04,3.62,2.92,12.777778,10.777778,15.977778,1.143,9.246914,79.19291
US_TX_48213,2020-01-03,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,2.4,6.08,7.49,5.37,12.57,2.68,7.21,4.8,3.53,2.54,2.68,5.09,4.24,2.97,3.11,,3.39,2.68,2.4,21.62,2.83,13.85,3.96,2.4,4.8,3.11,11.3,4.66,2.97,2.54,2.54,6.64,7.63,2.4,6.08,5.23,2.83,6.22,,3.81,10.6,2.4,31.79,8.2,4.38,8.05,2.97,5.65,5.23,2.68,3.11,5.37,43.23,,,2.26,2.4,3.53,3.67,5.51,7.35,3.96,2.83,2.4,4.24,7.77,2.97,7.91,2.68,4.24,2.97,3.25,11.822222,7.533333,15.316667,0.395111,9.771605,87.775494
US_TX_48213,2020-01-04,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,2.48,4.81,10.35,4.96,13.71,3.35,6.27,7.0,,2.77,2.92,5.98,4.67,,2.48,3.21,,3.21,2.19,17.21,4.38,11.38,3.06,2.04,3.79,2.62,10.21,3.94,,4.08,4.67,5.4,5.4,3.35,5.98,4.52,3.94,4.52,,5.4,8.02,,30.04,6.27,4.52,8.31,2.48,3.94,3.21,,,5.25,44.19,,,3.79,,3.21,3.79,2.33,6.85,,2.62,2.62,2.62,6.42,5.25,6.12,2.77,3.65,2.77,,8.238889,0.727778,16.027778,0.0762,0.858025,60.002144
US_TX_48213,2020-01-05,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,,6.65,8.53,6.8,12.87,2.75,8.53,7.38,3.04,2.75,2.17,7.66,5.35,2.89,5.64,2.31,2.75,3.62,2.02,19.38,5.5,12.0,4.34,,3.9,2.17,9.54,4.92,2.75,3.76,3.62,4.92,5.64,2.17,4.48,3.76,2.31,4.77,3.47,3.76,8.68,,28.34,6.07,3.9,8.24,5.06,3.04,5.93,2.17,2.75,7.52,47.72,,2.17,,,2.17,2.46,2.75,7.08,,,4.63,2.46,7.08,6.07,6.07,3.04,3.04,2.02,,11.172222,4.0,22.416667,0.2794,1.54321,52.095066
US_TX_48213,2020-01-06,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,3.34,6.02,10.16,3.61,15.65,3.88,6.29,7.09,3.34,5.08,1.87,8.43,6.02,3.21,,,2.01,2.67,3.08,22.73,4.28,13.64,3.34,3.08,3.75,1.87,9.36,4.55,1.87,4.41,3.88,7.62,6.55,2.54,6.02,6.55,2.27,6.82,,4.82,12.04,,28.35,7.89,4.41,10.43,4.01,4.55,5.48,2.14,3.21,5.75,42.53,,2.81,2.67,,3.75,2.67,6.95,8.83,2.27,2.67,3.34,3.48,6.55,4.55,4.82,2.14,2.81,2.54,2.41,11.238889,3.177778,20.333333,0.9144,2.771605,56.787405
US_TX_48213,2020-01-07,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,2.76,5.26,7.49,4.34,18.0,3.02,6.31,5.91,2.89,1.97,3.15,5.26,3.81,1.84,2.37,1.97,,1.84,,18.53,3.55,9.07,3.55,2.63,4.73,2.37,10.91,3.55,,5.52,4.73,4.73,6.83,2.5,3.29,5.52,3.29,4.73,2.23,3.02,9.72,1.84,29.83,6.83,3.94,7.75,2.89,5.13,3.94,3.02,4.34,5.13,45.08,,,1.84,,1.84,,5.26,6.7,2.63,2.63,4.21,,6.57,4.34,5.39,2.1,4.34,4.73,2.23,10.555556,1.783333,17.861111,0.0254,-1.845679,42.202161
US_TX_48213,2020-01-08,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,1.89,5.28,7.04,3.77,15.35,2.89,6.67,6.42,4.03,4.53,2.26,5.28,4.66,2.77,2.77,,,3.4,2.14,19.0,4.03,11.2,3.52,2.39,4.78,2.01,9.44,4.66,,4.03,2.39,8.3,4.4,1.89,5.79,3.9,3.4,5.16,2.64,3.52,10.82,3.02,34.47,7.3,5.91,11.57,2.14,5.54,5.91,2.89,3.4,5.79,42.4,,,2.14,,,2.52,3.65,13.96,3.77,3.15,3.27,4.53,5.03,4.66,5.66,4.66,3.77,3.77,1.89,8.311111,0.311111,18.294444,1.1684,-2.660494,46.773671
US_TX_48213,2020-01-09,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,1.95,5.74,8.79,4.52,14.65,,8.43,7.21,,3.42,,5.13,4.88,2.44,4.52,3.17,,3.79,1.95,16.24,4.64,8.55,3.17,2.93,5.5,2.44,10.99,4.03,1.71,3.17,3.91,5.5,4.15,2.81,4.15,3.91,3.91,4.52,2.32,3.66,10.75,2.81,31.63,5.01,3.42,10.14,2.44,4.4,5.5,,1.83,5.98,42.01,,2.2,,2.2,2.81,2.32,5.25,11.97,2.56,2.69,2.2,2.81,6.84,6.59,4.88,2.93,3.05,3.17,2.08,15.816667,12.644444,20.983333,2.685143,11.549383,76.214423
US_TX_48213,2020-01-10,ChIJyesZukIGSYYRXjVusCd2qyE,Q112793,geoId/48213,US,United States of America,TX,Texas,48213,Henderson County,US,USA,2,,,,,,,80954,39552,41402,9242,10014,8894,8711,9083,11296,11453,8166,4095,1839045,32.21,-95.85,2458,75.453333,,,,,,3.48,4.85,7.21,4.85,10.69,2.86,7.58,4.23,,2.61,,5.59,2.98,2.11,3.11,2.11,,3.48,,13.43,2.98,7.46,1.86,1.99,4.72,1.99,9.45,3.98,,2.86,2.86,5.84,4.85,2.24,5.1,3.36,1.74,4.72,2.11,4.6,7.58,3.11,24.61,5.22,2.11,6.96,,4.97,5.84,2.49,1.86,3.23,39.28,1.99,1.86,,3.36,2.86,1.74,3.85,7.71,,2.86,2.24,4.47,5.72,4.23,5.22,1.86,2.24,4.23,2.24,20.183333,18.883333,21.927778,0.338667,17.32716,83.988066
