location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48217,2020-01-01,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,,8.04,17.12,5.94,7.34,7.69,5.94,23.76,14.33,,10.83,4.89,,8.39,,5.94,6.64,29.7,6.29,8.04,,5.94,6.64,45.78,,6.29,5.94,4.89,,8.883333,3.355556,13.683333,0.0,,-0.877778,50.480015
US_TX_48217,2020-01-02,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,6.33,9.85,10.9,8.09,6.33,9.85,7.04,24.97,13.37,,8.44,,9.85,,6.33,6.68,12.31,32.36,,8.44,,7.74,6.68,54.52,,7.74,7.04,,4.92,12.7,10.655556,15.9,0.0254,,8.538889,75.884236
US_TX_48217,2020-01-03,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,5.78,11.2,16.25,7.58,7.95,8.31,,23.11,12.64,,11.92,,5.06,,5.06,,9.75,38.64,7.58,13.36,,,5.06,45.87,,7.58,6.86,6.86,6.14,11.072222,6.216667,16.633333,0.0,,6.944444,75.909182
US_TX_48217,2020-01-04,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,6.88,9.78,18.1,6.52,5.79,,,21.0,13.04,,13.4,5.79,,7.24,,,7.24,33.67,,9.41,,,6.16,42.73,,12.67,6.52,,8.33,8.738889,0.35,17.672222,0.0,,0.0,54.426374
US_TX_48217,2020-01-05,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,6.45,12.9,30.46,,6.09,,,17.56,6.81,,10.03,,6.81,,,6.81,5.38,24.01,7.17,5.02,,5.38,5.73,41.21,5.38,7.53,6.45,,,12.316667,3.888889,23.061111,0.0,,1.022222,46.145463
US_TX_48217,2020-01-06,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,,6.55,26.2,8.96,5.52,8.28,7.93,19.65,7.93,5.17,15.86,,4.83,6.9,5.52,5.86,8.28,28.62,,8.28,,5.86,8.96,44.82,5.86,9.65,6.21,6.9,,10.555556,0.9,20.777778,0.0,,1.55,53.808584
US_TX_48217,2020-01-07,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,4.43,6.01,17.08,9.49,6.33,6.33,,22.14,13.91,,12.97,4.43,,7.27,5.06,4.43,6.64,27.51,6.01,8.22,6.01,4.74,6.64,43.96,,9.8,5.69,6.64,6.96,9.988889,0.277778,18.755556,0.0,,-2.566667,41.544557
US_TX_48217,2020-01-08,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,5.96,7.85,21.66,10.99,8.48,6.91,4.4,18.84,6.59,6.91,7.85,,6.59,8.48,,7.85,11.3,33.28,5.34,7.54,,5.02,6.28,47.09,,15.38,,,,9.222222,-0.0,18.516667,0.0,,-3.338889,41.15842
US_TX_48217,2020-01-09,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,6.12,6.12,13.4,7.28,6.12,4.95,4.08,16.89,9.61,4.66,11.07,,5.53,7.87,,4.66,8.45,25.93,4.66,9.32,,4.66,6.12,40.49,4.37,14.56,7.57,5.83,4.37,16.605556,14.011111,22.233333,0.084667,,12.744444,78.045774
US_TX_48217,2020-01-10,ChIJtXPxT6aiT4YRlW8vyvdU5bw,Q110384,geoId/48217,US,United States of America,TX,Texas,48217,Hill County,US,USA,2,,,,,,,35703,17795,17908,4449,4848,3933,4000,3947,4759,4647,3329,1791,1837633,31.99,-97.13,2553,76.21,,,,,,,,7.27,10.07,9.23,,,,11.74,7.55,4.47,10.07,3.92,,5.03,4.2,5.03,12.3,22.65,4.75,,3.92,5.31,4.75,36.07,,4.47,8.11,6.71,,20.177778,18.233333,21.861111,0.73025,,17.933333,87.082238
