location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48273,2020-01-01,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,6.51,9.6,7.43,7.43,6.51,,7.12,9.29,13.63,4.34,11.77,6.82,4.34,5.89,8.05,6.2,10.22,,5.27,,4.96,8.05,25.09,6.2,,10.22,,,5.89,38.41,,5.89,7.12,,,14.845679,13.314815,16.67284,0.084667,9.944444,75.762313
US_TX_48273,2020-01-02,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,6.47,8.63,,12.4,6.74,6.2,4.58,8.9,16.99,5.12,10.79,4.58,,8.63,7.01,,4.85,7.55,5.66,,6.2,7.28,28.05,4.32,4.04,7.55,,,5.66,35.06,3.77,7.28,8.36,3.77,,15.705556,14.055556,17.661111,2.667,14.453704,94.408539
US_TX_48273,2020-01-03,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,,10.25,,11.08,8.31,,4.71,,23.54,,11.63,,,5.82,4.15,,,4.15,,4.99,4.99,9.42,25.48,6.65,4.71,11.36,,3.88,7.2,35.45,5.54,6.65,7.75,,6.65,16.522222,12.833333,21.622222,0.6096,10.462963,69.234624
US_TX_48273,2020-01-04,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,4.49,8.69,,10.19,8.09,4.49,5.39,,13.48,,7.79,,4.19,10.19,4.79,5.69,4.19,4.49,4.79,4.79,,10.19,25.77,4.19,,4.49,,,7.19,41.65,,5.39,5.39,5.09,,14.122222,7.122222,20.966667,0.0,3.509259,49.713373
US_TX_48273,2020-01-05,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,5.83,7.86,8.15,15.14,10.19,4.08,,,16.31,,11.94,4.66,5.24,6.99,4.66,,,,,8.74,,7.86,20.68,6.41,4.66,10.19,,,4.08,36.11,,7.57,4.95,,4.08,14.344444,7.8,22.194444,0.0,7.685185,68.117634
US_TX_48273,2020-01-06,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,3.88,7.5,,14.22,5.95,4.14,6.46,4.91,12.66,,9.3,5.43,4.39,10.08,,,3.88,6.46,5.95,4.65,,7.75,24.81,5.17,,8.79,,,4.65,39.8,,6.72,5.69,5.69,3.62,16.683333,11.555556,23.111111,0.0,11.731481,75.970382
US_TX_48273,2020-01-07,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,4.85,6.3,,10.91,7.76,,8.0,,15.52,,12.61,,3.64,11.4,4.12,,,3.88,5.58,4.85,4.12,8.24,26.92,6.06,3.4,7.76,3.88,4.61,5.09,34.67,4.85,8.73,6.06,4.12,6.3,16.055556,12.922222,20.016667,0.0,7.472222,57.961974
US_TX_48273,2020-01-08,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,5.75,9.1,,13.66,5.27,4.55,7.43,4.31,14.14,,8.15,,5.75,7.19,4.31,4.79,6.47,,4.55,4.07,,7.19,39.29,5.99,3.83,7.67,3.35,4.79,5.75,39.53,,20.61,7.43,5.03,4.55,14.961111,9.9,21.755556,0.0,7.87037,68.830238
US_TX_48273,2020-01-09,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,5.87,6.33,,10.32,4.69,,4.22,5.16,16.42,,10.09,,7.27,10.79,6.33,5.87,,3.75,4.69,6.8,3.75,7.51,29.33,5.4,5.63,6.8,3.29,4.69,5.63,34.72,5.4,10.79,4.46,6.1,5.4,20.622222,18.55,24.566667,0.0254,17.564815,80.201094
US_TX_48273,2020-01-10,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,5.27,7.66,6.46,7.18,6.22,5.51,7.18,4.07,14.6,,6.94,5.99,5.27,10.53,5.99,6.46,,,,4.79,5.03,10.05,33.52,6.94,3.35,7.18,,,3.35,36.15,4.79,11.73,7.9,6.46,5.51,21.316667,19.611111,23.905556,0.0508,19.518519,86.113893
