location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48351,2020-01-01,ChIJVb4dHE_WO4YRiLlZxY-28DY,Q112565,geoId/48351,US,United States of America,TX,Texas,48351,Newton County,US,USA,2,,,,,,,13908,7189,6719,1478,1684,1732,1529,1611,2051,1907,1268,648,1840992,30.78,-93.75,2433,76.825,,,14.38,10.36,8.683333,5.111111,13.216667,0.0,3.228395,70.35751
US_TX_48351,2020-01-02,ChIJVb4dHE_WO4YRiLlZxY-28DY,Q112565,geoId/48351,US,United States of America,TX,Texas,48351,Newton County,US,USA,2,,,,,,,13908,7189,6719,1478,1684,1732,1529,1611,2051,1907,1268,648,1840992,30.78,-93.75,2433,76.825,,,12.82,23.9,13.411111,10.438889,18.961111,14.859,11.783951,90.726286
US_TX_48351,2020-01-03,ChIJVb4dHE_WO4YRiLlZxY-28DY,Q112565,geoId/48351,US,United States of America,TX,Texas,48351,Newton County,US,USA,2,,,,,,,13908,7189,6719,1478,1684,1732,1529,1611,2051,1907,1268,648,1840992,30.78,-93.75,2433,76.825,,,10.62,18.75,16.494444,14.433333,20.333333,8.926286,14.895062,90.434271
US_TX_48351,2020-01-04,ChIJVb4dHE_WO4YRiLlZxY-28DY,Q112565,geoId/48351,US,United States of America,TX,Texas,48351,Newton County,US,USA,2,,,,,,,13908,7189,6719,1478,1684,1732,1529,1611,2051,1907,1268,648,1840992,30.78,-93.75,2433,76.825,,,16.73,13.63,11.822222,5.222222,17.322222,0.4064,6.049383,68.440933
US_TX_48351,2020-01-05,ChIJVb4dHE_WO4YRiLlZxY-28DY,Q112565,geoId/48351,US,United States of America,TX,Texas,48351,Newton County,US,USA,2,,,,,,,13908,7189,6719,1478,1684,1732,1529,1611,2051,1907,1268,648,1840992,30.78,-93.75,2433,76.825,,,10.4,26.3,10.45,3.827778,21.288889,0.0,5.746914,74.10974
US_TX_48351,2020-01-06,ChIJVb4dHE_WO4YRiLlZxY-28DY,Q112565,geoId/48351,US,United States of America,TX,Texas,48351,Newton County,US,USA,2,,,,,,,13908,7189,6719,1478,1684,1732,1529,1611,2051,1907,1268,648,1840992,30.78,-93.75,2433,76.825,,,15.3,22.95,13.988889,8.061111,22.2,0.0,10.203704,79.074598
US_TX_48351,2020-01-07,ChIJVb4dHE_WO4YRiLlZxY-28DY,Q112565,geoId/48351,US,United States of America,TX,Texas,48351,Newton County,US,USA,2,,,,,,,13908,7189,6719,1478,1684,1732,1529,1611,2051,1907,1268,648,1840992,30.78,-93.75,2433,76.825,,,13.89,18.52,13.122222,6.061111,17.811111,0.0,3.481481,52.687914
US_TX_48351,2020-01-08,ChIJVb4dHE_WO4YRiLlZxY-28DY,Q112565,geoId/48351,US,United States of America,TX,Texas,48351,Newton County,US,USA,2,,,,,,,13908,7189,6719,1478,1684,1732,1529,1611,2051,1907,1268,648,1840992,30.78,-93.75,2433,76.825,,,13.14,14.19,8.561111,0.755556,18.961111,0.0,0.555556,58.27328
US_TX_48351,2020-01-09,ChIJVb4dHE_WO4YRiLlZxY-28DY,Q112565,geoId/48351,US,United States of America,TX,Texas,48351,Newton County,US,USA,2,,,,,,,13908,7189,6719,1478,1684,1732,1529,1611,2051,1907,1268,648,1840992,30.78,-93.75,2433,76.825,,,15.88,15.39,15.605556,11.205556,21.477778,0.0635,11.518519,76.900873
US_TX_48351,2020-01-10,ChIJVb4dHE_WO4YRiLlZxY-28DY,Q112565,geoId/48351,US,United States of America,TX,Texas,48351,Newton County,US,USA,2,,,,,,,13908,7189,6719,1478,1684,1732,1529,1611,2051,1907,1268,648,1840992,30.78,-93.75,2433,76.825,,,10.02,17.54,20.638889,18.116667,24.188889,0.0,17.907407,84.210689
US_TX_48351,2020-01-11,ChIJVb4dHE_WO4YRiLlZxY-28DY,Q112565,geoId/48351,US,United States of America,TX,Texas,48351,Newton County,US,USA,2,,,,,,,13908,7189,6719,1478,1684,1732,1529,1611,2051,1907,1268,648,1840992,30.78,-93.75,2433,76.825,,,,12.56,17.516667,8.738889,23.261111,20.066,14.876543,85.173094
US_TX_48351,2020-01-12,ChIJVb4dHE_WO4YRiLlZxY-28DY,Q112565,geoId/48351,US,United States of America,TX,Texas,48351,Newton County,US,USA,2,,,,,,,13908,7189,6719,1478,1684,1732,1529,1611,2051,1907,1268,648,1840992,30.78,-93.75,2433,76.825,,,,21.1,7.172222,3.755556,14.955556,7.0104,3.703704,79.365337
