location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48377,2020-01-01,ChIJIcuzprj57oYRmC3MEKRIY7U,Q113962,geoId/48377,US,United States of America,TX,Texas,48377,Presidio County,US,USA,2,,,,,,,7100,3624,3476,1106,1019,776,760,757,728,764,691,499,1812650,30.0,-104.23,1428,9988,78.85,,,,25.59,,6.006173,-0.395062,13.067901,0.0,-4.208333,48.687152
US_TX_48377,2020-01-02,ChIJIcuzprj57oYRmC3MEKRIY7U,Q113962,geoId/48377,US,United States of America,TX,Texas,48377,Presidio County,US,USA,2,,,,,,,7100,3624,3476,1106,1019,776,760,757,728,764,691,499,1812650,30.0,-104.23,1428,9988,78.85,,,,26.83,29.39,8.395062,2.648148,14.364198,0.15875,-1.618056,50.810008
US_TX_48377,2020-01-03,ChIJIcuzprj57oYRmC3MEKRIY7U,Q113962,geoId/48377,US,United States of America,TX,Texas,48377,Presidio County,US,USA,2,,,,,,,7100,3624,3476,1106,1019,776,760,757,728,764,691,499,1812650,30.0,-104.23,1428,9988,78.85,,,,18.91,22.45,6.580247,2.91358,11.524691,0.987778,1.423611,70.993675
US_TX_48377,2020-01-04,ChIJIcuzprj57oYRmC3MEKRIY7U,Q113962,geoId/48377,US,United States of America,TX,Texas,48377,Presidio County,US,USA,2,,,,,,,7100,3624,3476,1106,1019,776,760,757,728,764,691,499,1812650,30.0,-104.23,1428,9988,78.85,,,,,36.96,6.45679,-1.018519,16.709877,0.451556,-4.416667,46.365882
US_TX_48377,2020-01-05,ChIJIcuzprj57oYRmC3MEKRIY7U,Q113962,geoId/48377,US,United States of America,TX,Texas,48377,Presidio County,US,USA,2,,,,,,,7100,3624,3476,1106,1019,776,760,757,728,764,691,499,1812650,30.0,-104.23,1428,9988,78.85,,,,,,9.395062,1.185185,20.179012,0.0,-5.027778,36.145514
US_TX_48377,2020-01-06,ChIJIcuzprj57oYRmC3MEKRIY7U,Q113962,geoId/48377,US,United States of America,TX,Texas,48377,Presidio County,US,USA,2,,,,,,,7100,3624,3476,1106,1019,776,760,757,728,764,691,499,1812650,30.0,-104.23,1428,9988,78.85,,,,,26.37,9.839506,1.203704,20.185185,0.0,-5.541667,34.233418
US_TX_48377,2020-01-07,ChIJIcuzprj57oYRmC3MEKRIY7U,Q113962,geoId/48377,US,United States of America,TX,Texas,48377,Presidio County,US,USA,2,,,,,,,7100,3624,3476,1106,1019,776,760,757,728,764,691,499,1812650,30.0,-104.23,1428,9988,78.85,,,,,35.75,6.901235,-2.555556,17.561728,0.0,-10.590278,28.373473
US_TX_48377,2020-01-08,ChIJIcuzprj57oYRmC3MEKRIY7U,Q113962,geoId/48377,US,United States of America,TX,Texas,48377,Presidio County,US,USA,2,,,,,,,7100,3624,3476,1106,1019,776,760,757,728,764,691,499,1812650,30.0,-104.23,1428,9988,78.85,,,,,28.17,8.154321,-0.018519,19.691358,0.0,-9.145833,28.919153
US_TX_48377,2020-01-09,ChIJIcuzprj57oYRmC3MEKRIY7U,Q113962,geoId/48377,US,United States of America,TX,Texas,48377,Presidio County,US,USA,2,,,,,,,7100,3624,3476,1106,1019,776,760,757,728,764,691,499,1812650,30.0,-104.23,1428,9988,78.85,,,,21.97,38.77,13.234568,4.030864,22.969136,0.0,-3.090278,35.119893
US_TX_48377,2020-01-10,ChIJIcuzprj57oYRmC3MEKRIY7U,Q113962,geoId/48377,US,United States of America,TX,Texas,48377,Presidio County,US,USA,2,,,,,,,7100,3624,3476,1106,1019,776,760,757,728,764,691,499,1812650,30.0,-104.23,1428,9988,78.85,,,,,24.14,11.388889,4.117284,19.419753,0.0,-4.25,38.111402
US_TX_48377,2020-01-11,ChIJIcuzprj57oYRmC3MEKRIY7U,Q113962,geoId/48377,US,United States of America,TX,Texas,48377,Presidio County,US,USA,2,,,,,,,7100,3624,3476,1106,1019,776,760,757,728,764,691,499,1812650,30.0,-104.23,1428,9988,78.85,,,,31.43,28.44,6.45679,-1.592593,14.253086,0.112889,-4.159722,48.380317
US_TX_48377,2020-01-12,ChIJIcuzprj57oYRmC3MEKRIY7U,Q113962,geoId/48377,US,United States of America,TX,Texas,48377,Presidio County,US,USA,2,,,,,,,7100,3624,3476,1106,1019,776,760,757,728,764,691,499,1812650,30.0,-104.23,1428,9988,78.85,,,,,35.43,7.975309,-0.296296,18.62963,0.028222,-9.298611,29.212233
US_TX_48377,2020-01-13,ChIJIcuzprj57oYRmC3MEKRIY7U,Q113962,geoId/48377,US,United States of America,TX,Texas,48377,Presidio County,US,USA,2,,,,,,,7100,3624,3476,1106,1019,776,760,757,728,764,691,499,1812650,30.0,-104.23,1428,9988,78.85,,,,,,9.641975,0.58642,21.159722,0.0,-7.680556,30.694205
