location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48401,2020-01-01,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,4.94,6.74,6.06,7.41,7.63,3.37,4.72,4.72,18.64,3.82,7.86,,4.04,6.06,4.94,3.59,6.51,3.82,3.82,4.04,,6.51,23.8,5.61,,4.27,4.04,3.37,5.84,34.58,6.06,5.61,4.94,,,,5.544444,0.722222,11.744444,0.0,,-0.361111,66.444687
US_TX_48401,2020-01-02,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,10.05,7.54,6.28,10.47,6.28,5.45,6.91,,16.54,,8.79,,3.56,10.05,4.19,4.19,3.98,3.98,4.19,3.98,,7.54,25.55,6.28,5.03,8.38,3.56,3.56,7.12,40.83,4.61,4.19,7.96,4.4,3.77,,11.711111,9.555556,14.605556,3.81,,9.294444,85.265846
US_TX_48401,2020-01-03,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,7.02,5.92,3.07,9.21,5.26,5.7,7.67,5.48,16.45,,8.77,,4.39,6.58,4.61,4.17,3.07,,3.95,4.17,,9.87,23.9,5.26,3.51,7.46,5.26,5.48,6.14,40.35,4.39,6.36,3.73,,4.61,,13.166667,10.138889,16.172222,7.874,,11.644444,90.580256
US_TX_48401,2020-01-04,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,3.97,10.03,3.97,10.73,3.97,7.46,5.6,4.43,15.86,4.43,8.4,3.97,7.0,5.37,4.2,6.07,3.97,5.6,7.23,5.37,,6.53,20.76,5.6,3.73,5.13,3.73,,4.67,33.83,,3.97,3.97,,6.53,,8.605556,1.233333,15.883333,0.0,,2.205556,64.408276
US_TX_48401,2020-01-05,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,7.91,10.0,3.25,9.53,7.67,4.18,5.35,,15.11,5.58,10.7,5.58,4.42,5.81,4.65,3.95,4.88,4.42,6.05,5.58,3.25,7.67,23.72,5.12,3.72,4.88,6.05,7.44,8.84,37.67,4.18,9.3,4.65,,,3.72,9.916667,2.45,22.033333,0.0,,2.266667,59.382074
US_TX_48401,2020-01-06,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,4.73,11.11,2.88,11.52,7.41,,6.58,4.94,9.88,3.91,7.82,2.88,3.5,9.05,4.53,4.32,3.29,6.79,5.14,7.41,3.91,8.02,27.77,3.5,3.29,7.0,3.29,5.14,7.0,33.12,,4.94,6.38,4.12,5.76,3.91,12.416667,4.527778,21.244444,0.0,,5.172222,61.614089
US_TX_48401,2020-01-07,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,4.08,7.79,,8.16,7.79,5.38,4.82,4.27,13.17,3.34,8.9,3.52,,7.79,,,4.45,2.78,3.52,5.01,,7.42,20.03,4.27,2.78,6.49,4.08,5.01,5.94,30.42,3.9,5.01,4.27,3.15,5.38,,10.638889,1.972222,18.044444,0.0,,-1.05,44.429789
US_TX_48401,2020-01-08,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,3.71,5.93,4.45,9.45,6.3,5.75,5.19,5.0,10.75,,7.23,,4.82,8.53,4.63,5.0,6.49,,,3.52,2.78,7.6,25.76,5.93,,5.19,3.71,4.08,5.75,35.59,,10.38,4.26,4.82,6.12,3.15,7.55,-0.727778,18.688889,0.0,,-1.9,51.872798
US_TX_48401,2020-01-09,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,4.11,5.36,2.68,8.04,5.36,4.82,4.11,3.4,13.04,,7.15,,3.75,10.36,5.54,5.18,4.29,2.68,4.82,3.4,,6.97,29.66,5.0,3.75,6.07,3.22,5.0,5.0,31.44,2.5,11.43,3.75,6.43,6.07,2.68,14.688889,10.8,20.566667,0.0,,10.283333,75.162345
US_TX_48401,2020-01-10,ChIJt3UNXM_PN4YRHSVPMOzqsbA,Q110773,geoId/48401,US,United States of America,TX,Texas,48401,Rusk County,US,USA,2,,,,,,,54213,29134,25079,6544,6838,7269,7174,7093,7219,6215,3786,2075,1839592,32.11,-94.76,2431,76.215385,,,,,6.44,6.1,3.56,8.65,4.41,3.22,3.56,4.24,9.49,3.56,4.75,3.9,3.73,10.0,2.71,4.07,4.41,3.56,2.54,2.71,3.39,8.99,25.77,5.43,3.56,6.44,,4.75,6.27,29.67,,8.48,4.92,3.9,3.9,,19.861111,18.377778,22.538889,0.451556,,17.25,85.015384
