location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_transit_stations,mobility_workplaces,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51021,2020-01-01,ChIJZ_6dsQsXTogRZTBFeLSdHac,Q495112,geoId/51021,US,United States of America,VA,Virginia,51021,Bland County,US,USA,2,,,,,,,6354,3489,2865,494,609,719,748,949,924,925,685,301,2532616,37.13,-81.13,929,74.85,,,3.155556,0.75,6.727778,0.0,,-2.144444,68.308048
US_VA_51021,2020-01-02,ChIJZ_6dsQsXTogRZTBFeLSdHac,Q495112,geoId/51021,US,United States of America,VA,Virginia,51021,Bland County,US,USA,2,,,,,,,6354,3489,2865,494,609,719,748,949,924,925,685,301,2532616,37.13,-81.13,929,74.85,,,3.294444,-1.272222,9.561111,0.2032,,-2.15,68.223617
US_VA_51021,2020-01-03,ChIJZ_6dsQsXTogRZTBFeLSdHac,Q495112,geoId/51021,US,United States of America,VA,Virginia,51021,Bland County,US,USA,2,,,,,,,6354,3489,2865,494,609,719,748,949,924,925,685,301,2532616,37.13,-81.13,929,74.85,,,8.955556,4.116667,12.2,6.785429,,8.377778,96.217107
US_VA_51021,2020-01-04,ChIJZ_6dsQsXTogRZTBFeLSdHac,Q495112,geoId/51021,US,United States of America,VA,Virginia,51021,Bland County,US,USA,2,,,,,,,6354,3489,2865,494,609,719,748,949,924,925,685,301,2532616,37.13,-81.13,929,74.85,,,9.6,1.788889,13.105556,4.354286,,8.233333,91.259054
US_VA_51021,2020-01-05,ChIJZ_6dsQsXTogRZTBFeLSdHac,Q495112,geoId/51021,US,United States of America,VA,Virginia,51021,Bland County,US,USA,2,,,,,,,6354,3489,2865,494,609,719,748,949,924,925,685,301,2532616,37.13,-81.13,929,74.85,,,0.761111,-1.427778,6.25,2.576286,,-3.833333,71.650322
US_VA_51021,2020-01-06,ChIJZ_6dsQsXTogRZTBFeLSdHac,Q495112,geoId/51021,US,United States of America,VA,Virginia,51021,Bland County,US,USA,2,,,,,,,6354,3489,2865,494,609,719,748,949,924,925,685,301,2532616,37.13,-81.13,929,74.85,,,3.083333,-1.6,8.016667,0.0508,30.48,-4.238889,59.189007
US_VA_51021,2020-01-07,ChIJZ_6dsQsXTogRZTBFeLSdHac,Q495112,geoId/51021,US,United States of America,VA,Virginia,51021,Bland County,US,USA,2,,,,,,,6354,3489,2865,494,609,719,748,949,924,925,685,301,2532616,37.13,-81.13,929,74.85,,,0.538889,-2.183333,5.916667,2.394857,,-4.005556,72.148347
US_VA_51021,2020-01-08,ChIJZ_6dsQsXTogRZTBFeLSdHac,Q495112,geoId/51021,US,United States of America,VA,Virginia,51021,Bland County,US,USA,2,,,,,,,6354,3489,2865,494,609,719,748,949,924,925,685,301,2532616,37.13,-81.13,929,74.85,,,2.361111,-1.877778,7.061111,1.0414,50.8,-5.127778,58.145955
US_VA_51021,2020-01-09,ChIJZ_6dsQsXTogRZTBFeLSdHac,Q495112,geoId/51021,US,United States of America,VA,Virginia,51021,Bland County,US,USA,2,,,,,,,6354,3489,2865,494,609,719,748,949,924,925,685,301,2532616,37.13,-81.13,929,74.85,,,3.15,-2.472222,9.794444,0.1016,64.77,-6.322222,50.570622
US_VA_51021,2020-01-10,ChIJZ_6dsQsXTogRZTBFeLSdHac,Q495112,geoId/51021,US,United States of America,VA,Virginia,51021,Bland County,US,USA,2,,,,,,,6354,3489,2865,494,609,719,748,949,924,925,685,301,2532616,37.13,-81.13,929,74.85,,,7.611111,-0.088889,13.622222,0.0,78.74,2.105556,68.504871
US_VA_51021,2020-01-11,ChIJZ_6dsQsXTogRZTBFeLSdHac,Q495112,geoId/51021,US,United States of America,VA,Virginia,51021,Bland County,US,USA,2,,,,,,,6354,3489,2865,494,609,719,748,949,924,925,685,301,2532616,37.13,-81.13,929,74.85,,,14.477778,8.538889,19.555556,3.120571,,11.433333,83.007409
US_VA_51021,2020-01-12,ChIJZ_6dsQsXTogRZTBFeLSdHac,Q495112,geoId/51021,US,United States of America,VA,Virginia,51021,Bland County,US,USA,2,,,,,,,6354,3489,2865,494,609,719,748,949,924,925,685,301,2532616,37.13,-81.13,929,74.85,,,13.694444,8.205556,19.033333,25.000857,,8.727778,72.06579
