location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_angina_pectoris,search_trends_anxiety,search_trends_arthritis,search_trends_asperger_syndrome,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_autoimmune_disease,search_trends_back_pain,search_trends_bacterial_vaginosis,search_trends_bleeding,search_trends_bloating,search_trends_boil,search_trends_bone_fracture,search_trends_bruise,search_trends_burn,search_trends_candidiasis,search_trends_canker_sore,search_trends_carpal_tunnel_syndrome,search_trends_chest_pain,search_trends_chronic_pain,search_trends_cirrhosis,search_trends_common_cold,search_trends_conjunctivitis,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dandruff,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_dizziness,search_trends_dry_eye_syndrome,search_trends_dysmenorrhea,search_trends_ear_pain,search_trends_edema,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fasciculation,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_generalized_anxiety_disorder,search_trends_genital_wart,search_trends_gout,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hemorrhoids,search_trends_hepatitis,search_trends_hip_pain,search_trends_hives,search_trends_hot_flash,search_trends_hypercholesterolemia,search_trends_hyperglycemia,search_trends_hyperpigmentation,search_trends_hypertension,search_trends_hyperthyroidism,search_trends_hypoglycemia,search_trends_hypokalemia,search_trends_hypotension,search_trends_hypothyroidism,search_trends_implantation_bleeding,search_trends_indigestion,search_trends_infection,search_trends_inflammation,search_trends_inflammatory_bowel_disease,search_trends_ingrown_hair,search_trends_insomnia,search_trends_iron_deficiency,search_trends_itch,search_trends_kidney_failure,search_trends_kidney_stone,search_trends_knee_pain,search_trends_lactose_intolerance,search_trends_lesion,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_manic_disorder,search_trends_migraine,search_trends_mood_disorder,search_trends_morning_sickness,search_trends_mouth_ulcer,search_trends_myocardial_infarction,search_trends_nasal_congestion,search_trends_nausea,search_trends_neck_pain,search_trends_obesity,search_trends_osteoporosis,search_trends_otitis,search_trends_otitis_media,search_trends_pain,search_trends_panic_attack,search_trends_paresthesia,search_trends_periodontal_disease,search_trends_periorbital_puffiness,search_trends_peripheral_neuropathy,search_trends_perspiration,search_trends_pneumonia,search_trends_podalgia,search_trends_psychosis,search_trends_scar,search_trends_sciatica,search_trends_sharp_pain,search_trends_shortness_of_breath,search_trends_sinusitis,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_tag,search_trends_skin_ulcer,search_trends_sleep_apnea,search_trends_sleep_disorder,search_trends_snoring,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_swollen_lymph_nodes,search_trends_syncope,search_trends_tachycardia,search_trends_tinnitus,search_trends_tonsillitis,search_trends_toothache,search_trends_tumor,search_trends_type_2_diabetes,search_trends_underweight,search_trends_urinary_incontinence,search_trends_urinary_tract_infection,search_trends_uterine_contraction,search_trends_vaginal_discharge,search_trends_vaginitis,search_trends_vertigo,search_trends_vomiting,search_trends_wart,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51121,2020-01-01,ChIJPY_xb8CWTYgRxR3YvnRxFD0,Q495120,geoId/51121,US,United States of America,VA,Virginia,51121,Montgomery County,US,USA,2,,,,,,,98142,50884,47258,8525,14854,26544,11155,10069,9993,8978,5093,2931,2532629,37.17,-80.39,1009,78.045455,,,,,,3.07,4.43,8.35,6.9,10.56,1.96,,8.09,4.17,,1.79,,1.62,5.28,,4.09,2.38,,3.58,1.79,2.38,2.56,,,1.45,,1.28,14.65,,2.38,8.69,2.81,,2.3,5.03,1.96,7.92,4.09,1.19,,1.19,,,1.53,2.64,,4.6,5.11,2.04,4.68,,,1.19,5.28,1.79,3.83,1.7,4.68,2.64,,,,1.79,,,,4.51,,,,1.79,1.36,1.19,2.04,23.17,5.45,,,3.41,1.28,6.9,1.62,,1.62,,,2.73,2.98,,3.58,,,,1.7,2.64,2.98,2.9,6.56,,1.19,1.19,36.54,1.7,1.87,,,1.7,2.64,1.62,,,2.04,1.19,,,2.13,3.41,7.33,,1.62,1.28,1.79,1.19,1.45,3.32,5.28,,,,1.19,,,,2.98,,1.7,3.58,1.19,2.64,1.36,1.53,4.26,1.45,3.41,3.41,3.994444,1.311111,7.938889,0.0,,-2.116667,64.857934
US_VA_51121,2020-01-02,ChIJPY_xb8CWTYgRxR3YvnRxFD0,Q495120,geoId/51121,US,United States of America,VA,Virginia,51121,Montgomery County,US,USA,2,,,,,,,98142,50884,47258,8525,14854,26544,11155,10069,9993,8978,5093,2931,2532629,37.17,-80.39,1009,78.045455,,,,,,2.2,5.8,8.38,4.26,10.95,3.23,,8.38,4.85,,2.57,4.11,1.84,7.27,,3.01,2.42,1.1,2.35,2.2,2.42,2.42,1.47,,1.03,,,15.8,1.47,3.6,9.62,2.42,1.98,2.5,4.48,1.62,7.35,3.97,1.98,,1.18,,,3.01,3.38,,5.51,5.14,2.13,4.78,1.4,,1.03,4.48,2.35,4.55,3.38,3.82,,1.32,,,,1.84,,,5.95,,,,1.32,,,1.4,26.3,7.42,1.4,,4.33,2.79,5.88,1.32,1.84,1.69,,,3.6,4.48,,4.04,1.98,,1.18,2.57,3.6,2.2,2.28,7.64,,1.25,1.18,40.48,1.32,1.84,,,,1.62,2.28,1.47,1.47,1.91,,1.62,,3.16,4.19,5.66,,2.57,1.76,2.87,,3.31,3.01,4.7,1.03,,,1.1,,1.1,1.03,3.01,,1.47,4.19,,2.28,,,3.16,,3.6,3.67,3.372222,-1.644444,10.2,0.1524,,-2.061111,68.333126
US_VA_51121,2020-01-03,ChIJPY_xb8CWTYgRxR3YvnRxFD0,Q495120,geoId/51121,US,United States of America,VA,Virginia,51121,Montgomery County,US,USA,2,,,,,,,98142,50884,47258,8525,14854,26544,11155,10069,9993,8978,5093,2931,2532629,37.17,-80.39,1009,78.045455,,,,,,2.43,4.65,8.3,4.72,10.95,1.79,,8.02,6.66,2.0,3.94,2.93,1.65,5.01,1.43,2.72,2.79,,2.93,1.72,1.72,2.72,1.15,1.22,1.57,1.07,,17.82,1.93,3.79,10.45,2.86,1.5,2.08,4.37,2.36,7.66,4.37,,,1.72,1.29,,1.79,2.29,,4.87,5.22,2.36,4.22,1.43,,1.15,4.58,1.5,4.94,1.29,3.51,1.22,2.58,1.43,1.36,1.22,1.65,1.15,,7.08,1.65,,1.29,,1.36,1.22,1.5,25.41,6.66,1.29,,4.37,2.22,7.08,1.15,1.79,1.15,,,3.15,3.87,1.07,5.3,,1.0,,3.01,2.65,2.72,,6.37,,1.43,,35.78,1.5,1.93,1.57,,1.15,2.79,2.08,1.15,1.43,2.65,1.65,1.07,1.29,2.65,3.44,5.94,,1.65,1.07,3.44,,2.58,3.22,4.87,1.22,,,1.43,,,,3.29,,,2.72,,2.58,,,3.01,1.36,3.65,2.65,8.527778,2.788889,11.761111,6.477,,7.794444,95.24564
US_VA_51121,2020-01-04,ChIJPY_xb8CWTYgRxR3YvnRxFD0,Q495120,geoId/51121,US,United States of America,VA,Virginia,51121,Montgomery County,US,USA,2,,,,,,,98142,50884,47258,8525,14854,26544,11155,10069,9993,8978,5093,2931,2532629,37.17,-80.39,1009,78.045455,,,,,,2.25,4.19,8.94,5.24,9.99,1.61,,7.57,6.36,1.21,1.53,3.22,,5.4,,2.98,2.01,,3.3,1.93,1.85,2.9,,,,1.13,,15.22,1.93,4.75,8.94,3.87,1.13,2.09,4.51,,6.36,3.54,1.61,1.21,,,,1.45,2.82,,5.4,4.51,2.42,4.19,,,,5.72,,4.99,2.5,3.22,1.77,,1.21,,,,,,5.88,1.45,1.29,,1.29,2.17,,,22.96,8.78,,,2.9,1.53,6.2,,,2.01,1.61,,3.46,4.03,,3.87,,1.93,1.29,2.58,2.82,3.06,,7.41,,1.21,1.29,38.9,,2.25,,,,2.9,1.93,1.29,1.61,2.42,,,,3.87,3.46,7.09,,2.17,1.61,2.09,,2.25,2.34,5.48,,,,,,,1.29,3.22,,1.37,2.98,,2.34,,,2.82,1.93,3.79,2.17,10.033333,2.994444,13.444444,5.23875,,8.661111,91.30238
US_VA_51121,2020-01-05,ChIJPY_xb8CWTYgRxR3YvnRxFD0,Q495120,geoId/51121,US,United States of America,VA,Virginia,51121,Montgomery County,US,USA,2,,,,,,,98142,50884,47258,8525,14854,26544,11155,10069,9993,8978,5093,2931,2532629,37.17,-80.39,1009,78.045455,,,,,,2.2,4.56,9.67,4.56,9.9,3.14,,8.41,4.95,,,2.91,1.26,5.66,,3.62,2.67,,4.01,1.49,2.44,2.04,,,1.57,,,14.93,1.42,3.14,8.17,2.12,1.1,1.89,4.87,2.44,7.07,5.03,1.81,,,1.26,,1.1,3.22,,5.26,5.11,3.14,4.56,,1.89,1.1,5.03,1.89,5.11,1.97,3.06,1.73,1.18,,,,,1.42,,5.58,,,,,2.44,1.34,2.36,22.63,5.82,1.42,,4.87,2.99,6.05,1.18,2.2,1.89,,1.65,1.89,4.71,,4.09,1.42,1.18,,,2.44,2.04,1.97,5.26,,1.97,1.1,40.63,1.73,1.65,,1.57,,2.52,1.26,,,3.14,,,,2.52,4.56,5.74,,1.89,1.49,2.83,,2.44,1.97,4.09,1.49,,,1.42,,2.44,1.89,4.56,,1.73,3.85,,2.2,,1.65,2.99,1.89,4.71,2.52,1.627778,-0.677778,8.222222,2.3495,,-3.655556,68.803891
US_VA_51121,2020-01-06,ChIJPY_xb8CWTYgRxR3YvnRxFD0,Q495120,geoId/51121,US,United States of America,VA,Virginia,51121,Montgomery County,US,USA,2,,,,,,,98142,50884,47258,8525,14854,26544,11155,10069,9993,8978,5093,2931,2532629,37.17,-80.39,1009,78.045455,,,,,,2.21,5.81,8.33,4.67,9.72,1.96,,8.27,4.99,1.2,2.59,3.16,1.45,6.44,1.07,2.78,3.09,,4.55,1.2,1.33,2.15,,1.01,1.2,1.64,0.88,13.95,1.51,3.47,9.09,3.92,1.07,2.78,5.05,1.96,9.15,4.86,2.02,,1.45,1.01,,2.21,3.22,,5.68,3.09,2.34,4.04,1.45,1.14,1.01,4.17,1.26,5.18,2.34,2.84,1.51,1.01,1.39,1.39,,1.26,1.01,1.2,7.32,0.88,,,1.07,2.15,0.88,2.15,23.87,7.07,1.2,0.95,3.85,1.83,5.43,,1.45,1.64,,,3.98,3.6,,4.8,,1.01,0.88,2.53,3.41,2.4,1.58,5.49,,1.39,1.2,38.07,1.64,1.77,0.95,,,2.27,2.34,1.01,1.14,2.15,,1.71,,2.71,4.29,4.17,,1.14,1.2,2.59,1.01,2.27,2.59,6.12,,,,1.83,,1.01,1.64,3.79,0.88,1.58,3.92,0.88,2.84,,1.71,2.08,1.51,2.65,2.08,3.872222,-1.527778,8.888889,0.0508,30.48,-4.15,56.341201
US_VA_51121,2020-01-07,ChIJPY_xb8CWTYgRxR3YvnRxFD0,Q495120,geoId/51121,US,United States of America,VA,Virginia,51121,Montgomery County,US,USA,2,,,,,,,98142,50884,47258,8525,14854,26544,11155,10069,9993,8978,5093,2931,2532629,37.17,-80.39,1009,78.045455,,,,,,2.0,5.21,8.69,3.22,11.26,1.48,,7.01,6.43,1.42,3.22,3.99,1.42,6.5,1.22,3.28,2.83,,4.89,1.67,1.8,2.77,1.48,,0.9,1.09,1.16,13.71,0.9,3.99,8.24,2.9,1.09,1.74,5.28,2.12,8.81,4.12,1.93,,1.42,0.9,,2.77,3.02,,5.02,3.92,2.25,2.96,1.16,,1.16,4.7,1.29,4.76,2.9,1.29,,,1.09,1.48,,1.8,,1.09,6.56,1.87,0.96,1.09,1.16,2.7,1.09,1.93,26.89,6.37,,1.09,3.54,1.35,6.31,1.09,1.48,0.96,1.29,1.74,2.51,5.08,,4.5,,,,1.93,2.57,1.74,2.0,6.11,1.03,,,39.44,1.42,2.77,1.61,,0.96,2.12,1.35,1.22,,3.35,1.8,1.03,,2.57,4.31,5.73,,2.06,1.22,3.09,1.29,2.44,2.0,5.41,1.09,,0.96,,0.9,2.25,2.57,4.12,,1.16,4.44,,2.38,1.09,1.22,2.9,1.93,3.8,3.02,0.25,-2.738889,7.95,2.3495,50.8,-3.988889,73.61173
US_VA_51121,2020-01-08,ChIJPY_xb8CWTYgRxR3YvnRxFD0,Q495120,geoId/51121,US,United States of America,VA,Virginia,51121,Montgomery County,US,USA,2,,,,,,,98142,50884,47258,8525,14854,26544,11155,10069,9993,8978,5093,2931,2532629,37.17,-80.39,1009,78.045455,,,,,,2.98,3.43,7.55,4.32,11.04,2.92,,8.95,6.09,1.02,2.35,4.0,1.46,6.28,,3.94,2.54,1.33,5.27,1.97,1.52,3.49,0.95,,1.65,1.71,,13.65,,3.24,7.81,2.48,,2.16,5.27,1.84,8.25,4.32,2.29,,1.65,,,2.29,2.92,,4.82,5.27,2.54,3.56,0.95,,1.08,4.13,1.33,4.32,2.79,2.73,0.89,1.08,1.21,1.14,,1.33,1.02,,6.41,1.46,,,1.65,2.48,,1.52,27.61,6.79,1.59,1.33,3.56,2.22,7.43,1.71,1.46,1.4,1.08,1.46,2.73,4.51,,4.76,1.14,1.02,1.65,1.46,2.67,2.1,1.4,6.35,,,,40.94,1.9,1.59,1.02,,1.02,2.48,2.03,,1.4,2.79,1.78,0.95,1.02,2.48,4.95,9.27,,1.4,1.46,2.98,1.21,1.97,3.05,5.46,1.02,,1.02,1.08,,0.89,1.84,5.01,,,4.38,0.89,1.9,,1.02,2.73,1.78,3.11,2.1,3.027778,-2.0,7.783333,1.636889,50.8,-5.161111,55.406486
US_VA_51121,2020-01-09,ChIJPY_xb8CWTYgRxR3YvnRxFD0,Q495120,geoId/51121,US,United States of America,VA,Virginia,51121,Montgomery County,US,USA,2,,,,,,,98142,50884,47258,8525,14854,26544,11155,10069,9993,8978,5093,2931,2532629,37.17,-80.39,1009,78.045455,,,,,,2.29,4.09,8.5,2.98,10.79,3.16,0.93,8.19,5.58,,1.8,4.16,2.23,5.4,1.68,3.78,1.99,,4.47,1.36,2.36,3.85,0.93,0.87,1.3,1.36,0.87,15.76,1.18,3.41,8.68,2.42,0.99,2.48,5.71,2.79,7.07,3.97,1.99,,1.3,1.61,,2.05,3.54,,5.15,4.22,2.17,3.91,1.68,,0.99,4.4,1.05,4.4,2.11,3.23,1.05,1.8,0.87,1.05,,,,,5.77,1.3,,,,2.42,1.12,1.99,27.48,7.69,1.18,,3.66,2.92,6.76,1.68,1.61,3.23,1.24,1.43,3.54,5.15,,4.34,1.18,1.3,,2.73,1.99,3.04,1.68,6.39,2.29,1.43,1.12,41.31,1.36,2.17,0.87,1.61,0.87,1.49,1.86,1.24,1.36,3.04,1.05,,1.18,2.29,5.02,8.87,,1.68,1.55,3.41,,2.54,3.1,7.07,1.24,,1.12,,,1.05,1.92,3.72,0.93,1.24,3.04,,2.36,,,3.29,1.3,4.47,3.29,2.488889,-3.683333,9.483333,0.1016,64.77,-7.416667,48.414414
US_VA_51121,2020-01-10,ChIJPY_xb8CWTYgRxR3YvnRxFD0,Q495120,geoId/51121,US,United States of America,VA,Virginia,51121,Montgomery County,US,USA,2,,,,,,,98142,50884,47258,8525,14854,26544,11155,10069,9993,8978,5093,2931,2532629,37.17,-80.39,1009,78.045455,,,,,,1.61,3.89,7.66,3.89,9.82,1.61,,9.14,3.09,,2.53,2.84,1.98,5.5,1.05,4.2,2.04,1.05,3.89,1.92,1.67,2.16,1.48,,,1.61,1.11,12.48,1.05,3.4,7.79,1.67,1.11,1.92,5.38,1.73,9.39,4.94,2.04,,,0.86,,2.16,4.2,,5.62,3.65,2.16,4.2,1.73,1.11,1.17,4.57,1.67,4.51,2.04,4.08,1.3,1.48,,1.11,,1.36,,1.54,5.62,1.17,1.11,1.05,1.3,2.53,1.36,1.24,26.08,6.74,1.24,,2.97,1.79,5.13,,2.16,1.54,1.24,1.3,3.21,4.39,,3.83,1.24,1.3,,2.78,2.47,2.6,1.3,6.55,1.17,1.11,1.05,36.33,1.98,2.9,,0.93,,2.72,1.61,1.24,1.92,3.21,1.24,,,2.29,4.26,5.75,,2.78,1.73,2.23,1.42,2.04,2.47,4.45,,1.05,1.42,0.99,,1.3,0.99,4.39,,1.3,4.26,,2.78,0.99,1.24,3.65,1.42,3.58,1.92,6.305556,-2.161111,12.25,0.0,78.74,0.911111,68.672553
