location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51125,2020-01-01,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,9.09,21.81,23.63,40.6,5.083333,0.105556,10.477778,0.0,,-3.32716,55.948297
US_VA_51125,2020-01-02,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,,24.56,29.2,56.42,4.733333,-1.65,12.666667,0.0,,-2.783951,59.765041
US_VA_51125,2020-01-03,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,,25.05,25.71,42.2,9.35,4.405556,12.288889,3.2385,,6.666667,82.813806
US_VA_51125,2020-01-04,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,12.23,19.02,16.98,40.09,11.988889,7.411111,15.9,2.44475,,10.351852,90.178482
US_VA_51125,2020-01-05,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,,17.88,29.05,49.16,4.505556,0.216667,11.194444,4.28625,,-3.098765,59.398286
US_VA_51125,2020-01-06,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,,15.47,25.53,42.56,4.683333,-1.25,11.455556,0.0,,-4.271605,54.326625
US_VA_51125,2020-01-07,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,,13.62,20.43,54.47,-0.027778,-3.6,6.688889,2.76225,50.8,-4.845679,72.129415
US_VA_51125,2020-01-08,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,,13.23,22.56,51.35,2.238889,-4.238889,7.905556,3.640667,,-5.302469,59.500192
US_VA_51125,2020-01-09,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,,25.61,32.01,44.81,-0.216667,-5.422222,6.855556,0.0,,-8.753086,53.845901
US_VA_51125,2020-01-10,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,13.64,18.95,30.32,48.51,4.788889,-2.738889,13.15,0.0,,-0.555556,68.851053
US_VA_51125,2020-01-11,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,,23.91,29.54,38.68,13.222222,8.883333,18.638889,0.6985,,10.987654,85.613944
US_VA_51125,2020-01-12,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,12.47,,21.82,50.65,16.716667,9.155556,19.616667,18.796,,10.345679,66.571641
US_VA_51125,2020-01-13,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,12.71,14.21,35.89,54.59,8.5,5.122222,15.155556,1.0922,,4.746914,77.937533
US_VA_51125,2020-01-14,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,,16.74,22.56,43.67,7.577778,4.588889,11.5,5.36575,,6.67284,93.689243
US_VA_51125,2020-01-15,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,,13.04,22.24,55.98,9.027778,3.85,14.7,1.326444,,6.131944,82.315019
US_VA_51125,2020-01-16,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,,,19.08,53.26,10.583333,4.088889,15.088889,0.0254,,1.37037,54.078357
US_VA_51125,2020-01-17,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,10.9,,19.62,27.61,0.788889,-2.794444,5.966667,0.0,,-10.265432,44.38644
US_VA_51125,2020-01-18,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,11.84,11.22,21.19,39.26,-0.988889,-3.85,2.883333,1.27,,-6.54321,65.843822
US_VA_51125,2020-01-19,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,,15.51,21.47,49.51,4.144444,-1.811111,8.838889,1.3716,,-1.907407,65.815266
US_VA_51125,2020-01-20,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,,22.17,27.02,45.03,-2.988889,-7.15,3.066667,0.0,,-11.932099,51.396966
US_VA_51125,2020-01-21,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,15.22,22.07,16.74,48.7,-4.177778,-9.377778,1.794444,0.0,,-12.08642,54.954756
US_VA_51125,2020-01-22,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,,20.92,24.66,41.85,-2.938889,-9.894444,5.011111,0.0,,-11.296296,53.28673
US_VA_51125,2020-01-23,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,11.72,16.11,24.17,42.48,-0.777778,-7.272222,7.05,0.0,,-9.259259,55.259805
US_VA_51125,2020-01-24,ChIJf0NDvx0Ts4kR5tQAuY1OSFg,Q515150,geoId/51125,US,United States of America,VA,Virginia,51125,Nelson County,US,USA,2,,,,,,,14800,7173,7627,1334,1623,1315,1462,1598,2231,2735,1767,735,2534193,37.79,-78.88,1228,77.766667,,,,,23.08,34.62,43.44,3.216667,-2.255556,8.2,2.12725,,-2.117284,68.30333
