location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51630,2020-01-01,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,,5.95,6.45,7.47,10.87,6.45,4.25,,,4.93,4.93,3.74,,3.23,19.53,2.72,9.17,6.62,4.42,,5.95,4.59,,,3.4,5.78,,4.42,2.38,4.93,3.57,6.79,18.85,6.11,2.55,6.79,3.57,3.91,4.59,,3.91,33.8,,3.4,7.13,,4.25,5.78,2.72,8.66,2.89,4.93,,,4.688889,-2.433333,12.016667,0.0,,-2.427778,60.553352
US_VA_51630,2020-01-02,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,,4.61,8.37,4.61,12.14,8.93,5.3,2.51,4.46,5.58,3.91,3.63,,3.21,19.95,3.35,13.81,2.79,3.63,2.51,8.23,4.88,3.77,,4.61,6.42,,6.14,3.91,5.02,3.49,8.79,24.0,7.4,,6.0,2.65,3.63,7.54,,5.72,36.98,2.51,4.33,5.72,,3.77,5.16,3.91,5.86,3.91,3.21,4.74,2.93,2.627778,-4.116667,12.855556,0.0,,-2.592593,68.940306
US_VA_51630,2020-01-03,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,,5.21,8.5,4.25,10.84,8.23,6.86,3.98,2.61,5.49,3.57,3.15,,2.19,18.24,2.47,12.62,3.29,6.04,,6.17,3.02,,,3.02,3.02,,5.21,3.98,4.66,3.84,6.72,27.71,7.41,4.25,7.82,2.61,4.53,5.35,2.33,4.94,36.21,2.88,4.53,5.9,2.88,3.98,6.58,,4.8,2.74,3.29,3.84,2.06,10.027778,7.738889,12.061111,3.175,,6.411111,78.432334
US_VA_51630,2020-01-04,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,2.62,5.7,7.85,5.24,9.39,4.93,4.16,,,7.54,4.93,2.16,2.31,3.23,14.32,2.16,10.01,3.23,3.69,2.93,6.47,4.62,2.62,,4.46,4.46,,5.24,3.23,4.93,4.31,5.08,22.94,7.39,,8.93,5.24,3.23,4.77,2.31,4.0,34.95,2.93,4.16,5.24,,2.62,5.39,3.39,5.24,2.93,3.54,3.85,,12.238889,9.038889,16.033333,3.96875,,11.383333,94.580392
US_VA_51630,2020-01-05,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,2.45,3.92,8.49,3.59,7.67,8.98,3.75,2.61,,7.18,3.59,4.73,,4.57,15.83,3.59,8.16,,4.08,2.45,6.37,4.73,,4.41,4.9,4.9,3.27,4.41,4.24,4.57,3.75,7.83,19.59,5.88,,7.67,2.61,3.43,4.41,2.45,2.61,36.56,3.43,2.29,4.24,3.27,5.22,7.02,2.45,4.57,2.45,3.59,3.75,,6.383333,0.822222,12.633333,8.781143,,-1.4,57.628602
US_VA_51630,2020-01-06,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,2.84,4.73,7.02,4.05,10.94,8.78,4.32,,3.65,5.4,2.43,3.38,,3.65,15.53,3.78,7.97,2.29,2.84,1.89,8.37,5.13,2.02,2.29,4.59,3.78,,1.89,5.54,5.13,,7.16,24.84,5.54,3.65,6.75,3.78,2.7,5.0,2.7,4.46,39.56,2.56,4.05,5.94,3.11,4.32,5.13,4.86,5.13,4.86,3.24,3.11,,3.594444,-2.577778,12.933333,0.0254,,-3.077778,61.929053
US_VA_51630,2020-01-07,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,2.46,5.32,7.26,3.5,11.28,8.3,3.76,1.95,3.37,4.67,4.93,3.37,2.59,2.59,16.08,3.11,8.3,2.59,4.28,2.72,7.91,3.37,,2.2,5.06,4.15,2.33,3.76,4.54,5.71,2.72,7.39,21.0,6.09,4.28,8.56,2.59,4.02,4.02,,6.48,35.66,2.08,5.58,5.32,3.5,5.06,6.22,3.89,5.19,2.33,,2.98,2.2,-0.4,-4.3,6.177778,6.204857,,-3.327778,80.748963
US_VA_51630,2020-01-08,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,,4.02,7.51,3.35,11.26,8.85,4.83,3.35,3.62,6.43,4.29,4.42,2.28,2.81,14.88,3.22,9.52,,4.42,,7.91,3.89,3.89,2.01,5.23,4.16,2.01,4.42,4.16,4.29,2.15,8.98,28.15,6.17,4.96,6.57,2.15,6.97,4.02,3.35,5.23,38.6,3.08,3.62,11.13,3.35,4.02,7.1,4.02,3.62,3.35,3.89,2.68,2.55,1.583333,-4.466667,8.822222,2.54,,-4.0,66.633056
US_VA_51630,2020-01-09,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,,4.01,7.08,4.01,13.35,5.74,6.14,4.14,3.34,7.08,5.21,4.01,,3.07,14.29,4.14,8.95,2.8,3.47,2.4,8.28,4.27,4.94,3.07,4.54,3.47,,4.81,4.01,3.47,2.14,8.68,29.11,6.41,2.94,7.88,2.4,5.47,4.27,3.6,4.27,35.25,,4.67,11.22,,2.4,6.01,3.34,6.01,3.34,2.54,3.74,4.67,-0.533333,-6.066667,6.944444,0.0,,-7.7,58.697982
US_VA_51630,2020-01-10,ChIJJeDquuvBtokRoZGmIQpFpn8,Q492342,geoId/51630,US,United States of America,VA,Virginia,51630,Fredericksburg,US,USA,2,,,,,,,28498,13213,15285,3651,4056,6431,3738,3016,3135,2398,1313,760,1633328,38.301829,-77.470778,18,27,78.96,,,,,,,2.02,4.31,7.94,4.44,12.52,8.08,4.98,4.04,2.56,6.19,3.77,4.85,2.02,1.89,14.0,2.42,6.73,2.56,4.04,2.15,7.81,3.1,3.1,,3.5,4.44,2.96,4.44,1.89,5.52,1.89,8.75,28.14,5.52,2.56,5.79,2.42,4.44,4.17,,4.98,35.95,2.15,3.1,6.73,2.83,2.15,5.12,4.58,3.1,2.42,2.56,3.1,,5.161111,-3.205556,14.561111,0.0,,0.016667,69.509508
