location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_itch,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51678,2020-01-01,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,,,34.66,,42.09,4.861111,0.833333,9.7,0.0,,-3.179012,57.660594
US_VA_51678,2020-01-02,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,,,26.64,,35.2,4.388889,-1.683333,12.227778,0.0,,-2.876543,61.148217
US_VA_51678,2020-01-03,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,,18.71,26.2,,43.97,9.1,3.316667,12.355556,4.03225,,7.12963,87.277913
US_VA_51678,2020-01-04,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,,,17.64,,33.21,11.411111,6.083333,14.994444,2.7305,,9.759259,90.464677
US_VA_51678,2020-01-05,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,17.52,13.14,17.52,,35.91,3.4,-0.061111,10.833333,3.6195,,-3.364198,63.915066
US_VA_51678,2020-01-06,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,,9.26,12.35,,28.3,4.611111,-1.066667,10.266667,0.0,,-4.203704,54.9724
US_VA_51678,2020-01-07,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,,11.62,20.51,,34.87,-0.005556,-3.522222,7.794444,2.00025,50.8,-4.703704,72.834423
US_VA_51678,2020-01-08,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,,19.55,28.75,,20.7,2.483333,-3.6,7.361111,4.09575,,-5.561728,57.091987
US_VA_51678,2020-01-09,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,10.85,9.5,19.9,,32.11,0.238889,-5.288889,7.361111,0.1016,,-9.111111,50.267773
US_VA_51678,2020-01-10,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,7.25,10.67,23.47,,22.19,4.761111,-2.844444,12.361111,0.0,,-0.469136,69.436971
US_VA_51678,2020-01-11,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,,15.81,18.56,,32.31,13.222222,8.594444,18.577778,1.524,,11.197531,86.855192
US_VA_51678,2020-01-12,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,12.47,11.15,21.65,,37.4,15.927778,9.155556,19.327778,19.558,,9.796296,67.935408
US_VA_51678,2020-01-13,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,,8.34,22.74,,28.8,8.122222,4.538889,15.766667,1.0922,,4.814815,80.723221
US_VA_51678,2020-01-14,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,7.69,9.7,18.73,,33.1,8.044444,4.777778,12.561111,5.55625,,7.209877,93.82496
US_VA_51678,2020-01-15,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,8.33,11.33,20.66,8.66,28.99,9.188889,3.266667,15.294444,1.11125,,6.209877,82.426633
US_VA_51678,2020-01-16,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,7.88,10.18,16.42,,30.22,10.25,3.177778,15.138889,0.0762,,1.296296,55.29827
US_VA_51678,2020-01-17,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,,9.47,18.94,,25.25,0.377778,-3.161111,5.305556,0.0,,-10.32716,45.724131
US_VA_51678,2020-01-18,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,,12.37,13.44,,34.41,-0.433333,-3.288889,3.494444,1.143,,-6.87037,61.316384
US_VA_51678,2020-01-19,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,7.73,11.86,20.1,7.73,43.81,3.405556,-2.772222,8.522222,1.7145,,-2.407407,67.289538
US_VA_51678,2020-01-20,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,8.76,8.34,28.36,,48.37,-3.733333,-7.522222,2.405556,0.0,,-11.901235,55.031956
US_VA_51678,2020-01-21,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,5.15,15.77,24.46,,42.49,-4.966667,-10.355556,1.516667,0.0,,-12.197531,58.438935
US_VA_51678,2020-01-22,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,8.18,14.15,29.25,,32.08,-3.038889,-10.094444,5.622222,0.0,,-11.425926,53.16075
US_VA_51678,2020-01-23,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,8.08,17.77,27.46,6.14,34.57,-0.538889,-7.344444,7.022222,0.0,,-9.623457,52.362554
US_VA_51678,2020-01-24,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,9.92,26.32,29.37,6.1,25.94,3.172222,-2.538889,7.683333,2.2225,,-2.333333,67.442951
US_VA_51678,2020-01-25,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,,28.21,29.27,,33.0,6.994444,1.783333,10.116667,31.665333,,4.574074,85.984895
