location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51685,2020-01-01,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,10.27,,7.94,15.41,7.94,,18.21,7.0,31.28,,5.355556,-0.183333,11.527778,0.0,,-2.753086,57.521707
US_VA_51685,2020-01-02,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,10.18,11.57,7.87,14.8,,6.94,24.98,7.4,37.48,,2.283333,-3.694444,11.627778,0.0,,-2.951389,70.30727
US_VA_51685,2020-01-03,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,13.6,9.07,,17.68,,,18.14,6.8,34.01,,9.605556,6.694444,11.566667,2.8194,,6.08642,78.963966
US_VA_51685,2020-01-04,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,12.93,9.36,,15.6,7.13,6.69,18.28,,41.46,,11.266667,8.316667,14.733333,3.3274,,10.555556,95.538227
US_VA_51685,2020-01-05,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,10.84,,,18.52,8.13,,17.62,,28.46,,5.866667,1.011111,12.644444,6.632222,,-1.691358,58.751088
US_VA_51685,2020-01-06,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,8.37,11.16,7.58,16.75,10.37,,19.14,8.77,35.09,,3.855556,-1.566667,12.527778,0.0254,,-3.222222,61.141468
US_VA_51685,2020-01-07,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,10.94,,11.72,13.28,,10.94,23.44,,25.0,,0.688889,-3.016667,7.9,3.866444,30.48,-3.771605,74.751582
US_VA_51685,2020-01-08,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,6.92,,6.48,18.15,,,29.39,,31.98,13.83,1.316667,-3.977778,7.705556,3.2258,30.48,-4.104938,68.470608
US_VA_51685,2020-01-09,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,10.5,8.07,7.67,20.19,,,29.48,7.67,43.2,12.92,0.0,-4.938889,6.75,0.0,50.8,-8.209877,54.893825
US_VA_51685,2020-01-10,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,10.1,11.48,7.34,15.15,11.02,8.72,24.33,7.8,27.55,8.72,4.861111,-2.727778,12.805556,0.0,,-0.37037,69.1082
