location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WV_54009,2020-01-01,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,13.15,8.12,6.19,,6.19,20.11,6.57,5.8,6.19,31.32,5.8,8.89,35.97,8.51,,0.246914,-1.666667,3.95679,1.55575,,-4.450617,70.951846
US_WV_54009,2020-01-02,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,8.37,10.19,10.92,6.55,9.83,18.2,11.29,6.55,10.92,24.76,6.55,6.92,41.14,6.55,5.83,3.32716,-1.481481,9.283951,0.112889,30.48,-3.302469,62.157651
US_WV_54009,2020-01-03,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,10.12,10.12,7.68,6.28,6.63,16.75,8.03,,8.72,29.31,5.23,,42.57,,9.07,9.246914,4.320988,10.907407,8.60425,,8.154321,92.908667
US_WV_54009,2020-01-04,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,5.62,,9.37,5.62,,11.25,5.62,,5.62,25.87,,,36.37,5.62,,6.993827,1.888889,10.734568,11.7475,,6.024691,93.602626
US_WV_54009,2020-01-05,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,,10.18,,,7.92,13.57,7.92,6.03,7.54,21.86,,,41.46,6.03,6.03,-0.407407,-1.654321,5.197531,1.669143,,-3.574074,79.268171
US_WV_54009,2020-01-06,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,7.85,8.83,7.52,4.9,6.87,7.52,12.1,,10.13,21.58,6.54,8.17,40.21,9.48,7.52,3.08642,-1.012346,5.67284,0.1905,,-3.407407,62.477804
US_WV_54009,2020-01-07,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,12.33,10.38,6.81,5.84,,17.84,11.35,,8.76,27.89,,9.73,42.49,5.19,5.19,0.216049,-4.228395,5.808642,0.0,,-5.123457,67.837853
US_WV_54009,2020-01-08,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,7.51,7.84,10.78,,4.9,12.73,8.82,,7.51,27.75,4.57,6.53,35.59,9.47,4.9,0.203704,-4.32716,4.123457,0.254,,-7.240741,57.527072
US_WV_54009,2020-01-09,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,,10.17,7.54,,5.58,15.74,11.15,,7.87,22.63,,8.53,36.4,7.21,,-2.679012,-8.660494,6.598765,0.0635,,-10.092593,56.978161
US_WV_54009,2020-01-10,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,7.46,9.08,6.81,6.49,6.49,10.38,9.73,4.54,8.76,21.08,,6.16,33.08,,5.51,9.117284,4.462963,12.709877,0.072571,,0.925926,56.884929
