location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WV_54083,2020-01-01,ChIJ5UsQTpQSS4gREt3gLtv6LQY,Q501819,geoId/54083,US,United States of America,WV,West Virginia,54083,Randolph County,US,USA,2,,,,,,,28894,14950,13944,2970,3168,3569,3340,3494,4107,4006,2780,1460,1913195,38.78,-79.87,692,2693,79.633333,,,,,11.66,10.26,7.0,,11.66,22.85,9.79,,27.98,10.26,8.39,41.03,7.0,,1.516667,-0.816667,4.783333,0.028222,,-4.419753,63.400928
US_WV_54083,2020-01-02,ChIJ5UsQTpQSS4gREt3gLtv6LQY,Q501819,geoId/54083,US,United States of America,WV,West Virginia,54083,Randolph County,US,USA,2,,,,,,,28894,14950,13944,2970,3168,3569,3340,3494,4107,4006,2780,1460,1913195,38.78,-79.87,692,2693,79.633333,,,,,11.8,11.8,10.44,10.44,,26.78,12.71,10.44,37.22,11.35,7.72,44.02,,7.26,2.833333,-3.055556,11.244444,0.0,,-4.351852,58.958368
US_WV_54083,2020-01-03,ChIJ5UsQTpQSS4gREt3gLtv6LQY,Q501819,geoId/54083,US,United States of America,WV,West Virginia,54083,Randolph County,US,USA,2,,,,,,,28894,14950,13944,2970,3168,3569,3340,3494,4107,4006,2780,1460,1913195,38.78,-79.87,692,2693,79.633333,,,,,6.45,9.88,,,6.88,22.35,10.31,12.89,38.68,6.88,9.46,45.56,7.31,6.88,9.911111,6.311111,11.833333,3.374571,,8.481481,89.882883
US_WV_54083,2020-01-04,ChIJ5UsQTpQSS4gREt3gLtv6LQY,Q501819,geoId/54083,US,United States of America,WV,West Virginia,54083,Randolph County,US,USA,2,,,,,,,28894,14950,13944,2970,3168,3569,3340,3494,4107,4006,2780,1460,1913195,38.78,-79.87,692,2693,79.633333,,,,,,,7.92,,,18.63,8.85,11.64,33.54,,8.85,48.45,7.92,,9.238889,3.5,13.566667,7.293429,,8.123457,91.45255
US_WV_54083,2020-01-05,ChIJ5UsQTpQSS4gREt3gLtv6LQY,Q501819,geoId/54083,US,United States of America,WV,West Virginia,54083,Randolph County,US,USA,2,,,,,,,28894,14950,13944,2970,3168,3569,3340,3494,4107,4006,2780,1460,1913195,38.78,-79.87,692,2693,79.633333,,,,,8.89,7.95,8.89,7.95,,21.05,11.69,,27.12,8.42,,42.56,,7.01,0.961111,-1.161111,4.861111,7.039429,,-1.611111,80.519443
US_WV_54083,2020-01-06,ChIJ5UsQTpQSS4gREt3gLtv6LQY,Q501819,geoId/54083,US,United States of America,WV,West Virginia,54083,Randolph County,US,USA,2,,,,,,,28894,14950,13944,2970,3168,3569,3340,3494,4107,4006,2780,1460,1913195,38.78,-79.87,692,2693,79.633333,,,,,8.41,12.42,10.02,9.22,,21.24,6.81,10.82,26.45,10.02,9.62,47.68,6.81,7.21,3.061111,-2.661111,6.494444,0.635,,-2.987654,63.147454
US_WV_54083,2020-01-07,ChIJ5UsQTpQSS4gREt3gLtv6LQY,Q501819,geoId/54083,US,United States of America,WV,West Virginia,54083,Randolph County,US,USA,2,,,,,,,28894,14950,13944,2970,3168,3569,3340,3494,4107,4006,2780,1460,1913195,38.78,-79.87,692,2693,79.633333,,,,,8.58,12.48,7.8,,,19.5,10.14,,30.81,7.02,9.36,38.22,11.31,7.02,-2.072222,-5.522222,3.505556,0.653143,,-5.055556,79.095107
US_WV_54083,2020-01-08,ChIJ5UsQTpQSS4gREt3gLtv6LQY,Q501819,geoId/54083,US,United States of America,WV,West Virginia,54083,Randolph County,US,USA,2,,,,,,,28894,14950,13944,2970,3168,3569,3340,3494,4107,4006,2780,1460,1913195,38.78,-79.87,692,2693,79.633333,,,,,7.03,10.15,12.11,,5.47,14.84,15.23,5.47,37.1,8.2,9.76,44.91,6.64,7.03,-0.194444,-5.144444,2.111111,3.846286,,-6.41358,62.060408
US_WV_54083,2020-01-09,ChIJ5UsQTpQSS4gREt3gLtv6LQY,Q501819,geoId/54083,US,United States of America,WV,West Virginia,54083,Randolph County,US,USA,2,,,,,,,28894,14950,13944,2970,3168,3569,3340,3494,4107,4006,2780,1460,1913195,38.78,-79.87,692,2693,79.633333,,,,,6.54,11.53,10.38,,,23.07,12.69,7.69,28.07,7.69,6.92,47.29,5.38,6.15,-1.916667,-8.6,7.572222,0.0508,99.06,-9.962963,53.969777
US_WV_54083,2020-01-10,ChIJ5UsQTpQSS4gREt3gLtv6LQY,Q501819,geoId/54083,US,United States of America,WV,West Virginia,54083,Randolph County,US,USA,2,,,,,,,28894,14950,13944,2970,3168,3569,3340,3494,4107,4006,2780,1460,1913195,38.78,-79.87,692,2693,79.633333,,,,,7.18,11.56,9.17,6.38,6.38,11.96,11.96,11.96,29.91,8.77,6.78,51.04,7.97,,7.277778,0.833333,14.555556,0.0,78.74,-0.290123,60.113069
