location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WY_56009,2020-01-01,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,15.15,23.06,36.23,0.769841,-6.738095,5.571429,0.0,50.8,-7.896825,53.372804
US_WY_56009,2020-01-02,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,10.15,16.72,28.07,37.62,-0.309524,-4.285714,5.555556,0.036286,50.8,-5.31746,69.067994
US_WY_56009,2020-01-03,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,10.63,10.0,20.0,35.63,-2.634921,-7.777778,3.880952,0.108857,50.8,-8.246032,65.456774
US_WY_56009,2020-01-04,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,12.45,22.94,29.5,2.531746,-6.365079,9.936508,0.0,50.8,-6.420635,52.496879
US_WY_56009,2020-01-05,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,14.52,20.46,44.23,-1.0,-7.436508,9.936508,0.0,,-10.690476,48.718663
US_WY_56009,2020-01-06,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,9.46,10.65,18.93,31.95,-2.611111,-7.819444,2.430556,0.0,,-11.642857,52.470856
US_WY_56009,2020-01-07,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,17.54,25.21,29.59,0.708333,-7.645833,7.548611,0.0,,-8.920635,48.010248
US_WY_56009,2020-01-08,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,8.89,11.26,26.08,33.78,2.236111,-4.326389,8.673611,0.0,,-7.571429,49.167153
US_WY_56009,2020-01-09,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,15.49,22.04,34.55,-1.166667,-6.173611,6.673611,0.0,,-8.468254,58.816461
US_WY_56009,2020-01-10,ChIJb1LisqhrYYcRJ2MxDFKlmA4,Q484156,geoId/56009,US,United States of America,WY,Wyoming,56009,Converse County,US,USA,2,,,,,,,13733,6973,6760,1867,1851,1487,1733,1667,1940,1758,936,494,288640,42.97,-105.5,11047,82.0,,,,,,17.67,22.97,32.98,-7.783951,-13.62963,0.746914,0.620889,,-12.486111,71.230816
