location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WY_56041,2020-01-01,ChIJR4w4T5CnUYcRvTPRgMmXumM,Q483973,geoId/56041,US,United States of America,WY,Wyoming,56041,Uinta County,US,USA,2,,,,,,,20431,10339,10092,3282,3182,2179,2755,2349,2567,2496,1116,505,289347,41.29,-110.55,5407,77.7,,,,,,,10.71,10.71,16.07,,,22.76,,32.14,,-3.845679,-10.067901,0.858025,0.471714,30.48,-6.518519,81.767154
US_WY_56041,2020-01-02,ChIJR4w4T5CnUYcRvTPRgMmXumM,Q483973,geoId/56041,US,United States of America,WY,Wyoming,56041,Uinta County,US,USA,2,,,,,,,20431,10339,10092,3282,3182,2179,2755,2349,2567,2496,1116,505,289347,41.29,-110.55,5407,77.7,,,,,,7.61,,,14.8,9.3,7.19,29.18,,40.59,,-2.32716,-6.87037,0.851852,1.850571,30.48,-5.185185,80.883449
US_WY_56041,2020-01-03,ChIJR4w4T5CnUYcRvTPRgMmXumM,Q483973,geoId/56041,US,United States of America,WY,Wyoming,56041,Uinta County,US,USA,2,,,,,,,20431,10339,10092,3282,3182,2179,2755,2349,2567,2496,1116,505,289347,41.29,-110.55,5407,77.7,,,,,,,6.46,,21.52,,8.18,23.67,,35.29,9.04,-2.777778,-6.882716,2.345679,0.0,30.48,-6.697531,74.907232
US_WY_56041,2020-01-04,ChIJR4w4T5CnUYcRvTPRgMmXumM,Q483973,geoId/56041,US,United States of America,WY,Wyoming,56041,Uinta County,US,USA,2,,,,,,,20431,10339,10092,3282,3182,2179,2755,2349,2567,2496,1116,505,289347,41.29,-110.55,5407,77.7,,,,,,10.53,6.86,7.32,7.78,,,21.97,,28.37,9.15,-4.333333,-9.098765,2.851852,0.0,30.48,-8.598765,72.770575
US_WY_56041,2020-01-05,ChIJR4w4T5CnUYcRvTPRgMmXumM,Q483973,geoId/56041,US,United States of America,WY,Wyoming,56041,Uinta County,US,USA,2,,,,,,,20431,10339,10092,3282,3182,2179,2755,2349,2567,2496,1116,505,289347,41.29,-110.55,5407,77.7,,,,,,,7.96,,18.58,10.18,6.64,15.93,7.08,34.95,,-5.364198,-10.851852,2.148148,0.0,,-8.919753,76.201496
US_WY_56041,2020-01-06,ChIJR4w4T5CnUYcRvTPRgMmXumM,Q483973,geoId/56041,US,United States of America,WY,Wyoming,56041,Uinta County,US,USA,2,,,,,,,20431,10339,10092,3282,3182,2179,2755,2349,2567,2496,1116,505,289347,41.29,-110.55,5407,77.7,,,,,,,7.33,,15.76,7.7,7.7,25.3,,35.56,,-3.598765,-8.055556,0.87037,0.0,,-8.061728,71.421576
US_WY_56041,2020-01-07,ChIJR4w4T5CnUYcRvTPRgMmXumM,Q483973,geoId/56041,US,United States of America,WY,Wyoming,56041,Uinta County,US,USA,2,,,,,,,20431,10339,10092,3282,3182,2179,2755,2349,2567,2496,1116,505,289347,41.29,-110.55,5407,77.7,,,,,,6.5,9.39,9.03,8.66,,8.66,20.94,,34.66,,-1.722222,-7.302469,3.759259,0.0,,-8.148148,62.451013
US_WY_56041,2020-01-08,ChIJR4w4T5CnUYcRvTPRgMmXumM,Q483973,geoId/56041,US,United States of America,WY,Wyoming,56041,Uinta County,US,USA,2,,,,,,,20431,10339,10092,3282,3182,2179,2755,2349,2567,2496,1116,505,289347,41.29,-110.55,5407,77.7,,,,,,6.83,5.39,6.83,12.94,6.47,7.55,17.98,5.03,26.97,5.39,-2.944444,-7.037037,2.882716,0.217714,30.48,-7.444444,71.764206
US_WY_56041,2020-01-09,ChIJR4w4T5CnUYcRvTPRgMmXumM,Q483973,geoId/56041,US,United States of America,WY,Wyoming,56041,Uinta County,US,USA,2,,,,,,,20431,10339,10092,3282,3182,2179,2755,2349,2567,2496,1116,505,289347,41.29,-110.55,5407,77.7,,,,,,6.24,,,11.02,9.92,7.71,29.75,,34.52,8.81,-3.666667,-7.333333,0.333333,0.290286,,-6.574074,80.434915
US_WY_56041,2020-01-10,ChIJR4w4T5CnUYcRvTPRgMmXumM,Q483973,geoId/56041,US,United States of America,WY,Wyoming,56041,Uinta County,US,USA,2,,,,,,,20431,10339,10092,3282,3182,2179,2755,2349,2567,2496,1116,505,289347,41.29,-110.55,5407,77.7,,,,,,8.33,,6.57,10.08,7.01,,31.56,,35.5,7.89,-6.685185,-11.901235,-1.148148,0.290286,30.48,-11.388889,69.792273
