location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NC_37061,2020-01-01,ChIJL5_vH-3Iq4kRG-c74VBIUfM,Q511788,geoId/37061,US,United States of America,NC,North Carolina,37061,Duplin County,US,USA,2,,,,,,,58943,28700,30243,7697,7931,6847,6514,7264,7988,7464,4571,2667,2528695,34.94,-77.93,2121,79.5,,,,,,7.54,13.26,,7.02,7.28,4.94,5.98,5.2,18.46,4.94,11.96,4.16,7.28,9.1,,6.5,6.76,,5.46,3.9,3.64,8.58,20.54,6.76,,9.36,,,7.28,45.24,,5.2,6.76,6.76,,4.42,7.691358,1.901235,14.364198,0.0,,0.876543,62.207721
US_NC_37061,2020-01-02,ChIJL5_vH-3Iq4kRG-c74VBIUfM,Q511788,geoId/37061,US,United States of America,NC,North Carolina,37061,Duplin County,US,USA,2,,,,,,,58943,28700,30243,7697,7931,6847,6514,7264,7988,7464,4571,2667,2528695,34.94,-77.93,2121,79.5,,,,,,6.17,12.8,4.27,7.82,5.93,4.98,5.22,4.5,15.65,4.5,10.91,,4.5,6.88,4.5,4.27,6.17,3.79,5.45,4.27,3.79,11.38,26.08,5.22,3.56,6.88,3.56,4.98,8.77,39.6,,3.56,9.01,6.4,5.69,5.45,7.179012,1.82716,14.703704,0.0,,1.919753,69.412822
US_NC_37061,2020-01-03,ChIJL5_vH-3Iq4kRG-c74VBIUfM,Q511788,geoId/37061,US,United States of America,NC,North Carolina,37061,Duplin County,US,USA,2,,,,,,,58943,28700,30243,7697,7931,6847,6514,7264,7988,7464,4571,2667,2528695,34.94,-77.93,2121,79.5,,,,,,7.08,9.76,,12.93,5.37,9.51,5.61,5.12,19.52,,12.69,,3.9,11.22,4.88,4.39,5.12,6.34,6.59,3.42,3.9,11.47,24.64,5.12,3.9,9.51,,5.12,5.37,41.96,5.61,6.59,6.59,8.29,,3.42,16.35,6.511111,25.833333,0.0,,12.311111,77.366997
US_NC_37061,2020-01-04,ChIJL5_vH-3Iq4kRG-c74VBIUfM,Q511788,geoId/37061,US,United States of America,NC,North Carolina,37061,Duplin County,US,USA,2,,,,,,,58943,28700,30243,7697,7931,6847,6514,7264,7988,7464,4571,2667,2528695,34.94,-77.93,2121,79.5,,,,,,9.35,12.06,4.18,10.09,8.86,6.65,9.35,5.66,18.21,5.17,11.81,4.43,4.92,8.62,3.45,5.91,6.65,3.94,5.66,5.17,4.18,8.62,27.08,3.45,,7.14,4.18,4.68,5.17,46.03,4.92,5.17,6.15,4.18,4.92,,18.672222,13.522222,23.055556,4.136571,,16.772222,88.855164
US_NC_37061,2020-01-05,ChIJL5_vH-3Iq4kRG-c74VBIUfM,Q511788,geoId/37061,US,United States of America,NC,North Carolina,37061,Duplin County,US,USA,2,,,,,,,58943,28700,30243,7697,7931,6847,6514,7264,7988,7464,4571,2667,2528695,34.94,-77.93,2121,79.5,,,,,,7.33,10.87,4.8,7.83,9.35,6.06,3.54,3.79,12.63,4.55,10.61,5.81,4.04,10.61,4.3,,4.04,4.8,5.31,3.79,,6.06,20.72,4.3,3.79,9.35,4.8,,6.06,34.62,3.79,7.33,3.79,,4.8,3.79,8.877778,3.305556,18.616667,3.81,,-0.494444,51.978703
US_NC_37061,2020-01-06,ChIJL5_vH-3Iq4kRG-c74VBIUfM,Q511788,geoId/37061,US,United States of America,NC,North Carolina,37061,Duplin County,US,USA,2,,,,,,,58943,28700,30243,7697,7931,6847,6514,7264,7988,7464,4571,2667,2528695,34.94,-77.93,2121,79.5,,,,,,9.46,8.99,,11.59,9.46,4.02,6.86,4.97,14.66,5.44,9.7,4.02,4.97,10.17,,4.02,3.55,4.26,4.73,7.09,3.78,9.7,25.07,7.57,4.73,8.04,4.02,5.44,5.2,43.75,3.31,7.33,,6.39,7.33,5.2,6.238889,0.422222,16.394444,2.032,,0.155556,65.401864
US_NC_37061,2020-01-07,ChIJL5_vH-3Iq4kRG-c74VBIUfM,Q511788,geoId/37061,US,United States of America,NC,North Carolina,37061,Duplin County,US,USA,2,,,,,,,58943,28700,30243,7697,7931,6847,6514,7264,7988,7464,4571,2667,2528695,34.94,-77.93,2121,79.5,,,,,,5.84,8.87,3.5,9.11,7.71,6.3,6.07,4.44,15.41,,9.34,3.5,6.07,11.91,4.9,3.74,5.6,4.2,3.97,5.37,3.27,9.34,24.05,7.24,,7.71,5.37,4.9,7.0,46.23,5.14,9.11,4.2,3.5,6.54,4.2,7.016667,-0.188889,18.194444,0.0,,2.872222,75.135188
US_NC_37061,2020-01-08,ChIJL5_vH-3Iq4kRG-c74VBIUfM,Q511788,geoId/37061,US,United States of America,NC,North Carolina,37061,Duplin County,US,USA,2,,,,,,,58943,28700,30243,7697,7931,6847,6514,7264,7988,7464,4571,2667,2528695,34.94,-77.93,2121,79.5,,,,,,4.38,8.75,,11.28,10.13,7.6,6.91,6.91,15.43,4.61,11.28,,5.3,11.05,,5.53,4.61,4.61,5.99,,,8.29,33.62,5.53,3.68,13.36,3.92,6.45,7.14,40.99,7.14,13.36,5.07,4.14,7.83,,6.722222,-1.338889,17.105556,0.0762,,-1.4,56.361205
US_NC_37061,2020-01-09,ChIJL5_vH-3Iq4kRG-c74VBIUfM,Q511788,geoId/37061,US,United States of America,NC,North Carolina,37061,Duplin County,US,USA,2,,,,,,,58943,28700,30243,7697,7931,6847,6514,7264,7988,7464,4571,2667,2528695,34.94,-77.93,2121,79.5,,,,,,6.36,6.36,3.77,13.44,6.6,7.78,5.89,9.9,15.09,,9.66,3.54,4.71,11.08,,5.66,,4.01,5.42,4.24,3.54,9.19,34.41,7.78,3.54,11.08,5.89,5.19,7.78,41.02,4.48,13.44,6.84,6.13,4.48,,5.55,-1.083333,14.216667,0.0,,-0.772222,64.04909
US_NC_37061,2020-01-10,ChIJL5_vH-3Iq4kRG-c74VBIUfM,Q511788,geoId/37061,US,United States of America,NC,North Carolina,37061,Duplin County,US,USA,2,,,,,,,58943,28700,30243,7697,7931,6847,6514,7264,7988,7464,4571,2667,2528695,34.94,-77.93,2121,79.5,,,,,,6.64,9.59,,10.82,7.62,7.38,7.87,4.67,16.23,3.94,12.54,3.69,3.69,7.62,4.43,6.39,4.92,3.94,,6.39,,12.05,30.25,5.66,4.43,9.35,3.69,5.66,8.12,47.22,,8.12,,5.17,7.13,3.69,10.666667,2.3,21.133333,0.0,,6.161111,73.788054
