location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_NC_37007,2020-01-01,ChIJPztYy0_wVIgRBsxmm62g0Oo,Q497830,geoId/37007,US,United States of America,NC,North Carolina,37007,Anson County,US,USA,2,,,,,,,24829,12931,11898,2585,2839,3558,3085,3134,3470,3247,1929,982,2528672,34.97,-80.1,1391,75.716667,,,,,9.93,10.41,,25.54,,,20.34,,35.0,,6.888889,0.294444,14.072222,0.0254,-0.677778,58.720435
US_NC_37007,2020-01-02,ChIJPztYy0_wVIgRBsxmm62g0Oo,Q497830,geoId/37007,US,United States of America,NC,North Carolina,37007,Anson County,US,USA,2,,,,,,,24829,12931,11898,2585,2839,3558,3085,3134,3470,3247,1929,982,2528672,34.97,-80.1,1391,75.716667,,,,,8.27,13.5,6.97,16.98,6.97,8.27,23.95,,41.37,12.19,6.433333,1.366667,12.455556,0.508,2.166667,74.575059
US_NC_37007,2020-01-03,ChIJPztYy0_wVIgRBsxmm62g0Oo,Q497830,geoId/37007,US,United States of America,NC,North Carolina,37007,Anson County,US,USA,2,,,,,,,24829,12931,11898,2585,2839,3558,3085,3134,3470,3247,1929,982,2528672,34.97,-80.1,1391,75.716667,,,,,8.12,14.89,,19.86,9.48,,23.92,6.77,38.36,,12.733333,6.022222,22.111111,6.313714,11.066667,89.731961
US_NC_37007,2020-01-04,ChIJPztYy0_wVIgRBsxmm62g0Oo,Q497830,geoId/37007,US,United States of America,NC,North Carolina,37007,Anson County,US,USA,2,,,,,,,24829,12931,11898,2585,2839,3558,3085,3134,3470,3247,1929,982,2528672,34.97,-80.1,1391,75.716667,,,,,11.85,8.53,9.01,14.22,7.58,,18.01,7.11,36.97,7.58,16.227778,11.138889,20.622222,14.042571,14.016667,86.884578
US_NC_37007,2020-01-05,ChIJPztYy0_wVIgRBsxmm62g0Oo,Q497830,geoId/37007,US,United States of America,NC,North Carolina,37007,Anson County,US,USA,2,,,,,,,24829,12931,11898,2585,2839,3558,3085,3134,3470,3247,1929,982,2528672,34.97,-80.1,1391,75.716667,,,,,7.63,8.53,9.42,21.09,,12.56,23.78,7.18,30.96,,7.41358,0.888889,17.04321,1.326444,-1.950617,51.647152
US_NC_37007,2020-01-06,ChIJPztYy0_wVIgRBsxmm62g0Oo,Q497830,geoId/37007,US,United States of America,NC,North Carolina,37007,Anson County,US,USA,2,,,,,,,24829,12931,11898,2585,2839,3558,3085,3134,3470,3247,1929,982,2528672,34.97,-80.1,1391,75.716667,,,,,,9.7,8.43,13.49,,10.96,20.23,,34.15,,6.555556,-0.666667,16.067901,0.0,-0.438272,61.291348
US_NC_37007,2020-01-07,ChIJPztYy0_wVIgRBsxmm62g0Oo,Q497830,geoId/37007,US,United States of America,NC,North Carolina,37007,Anson County,US,USA,2,,,,,,,24829,12931,11898,2585,2839,3558,3085,3134,3470,3247,1929,982,2528672,34.97,-80.1,1391,75.716667,,,,,7.57,9.67,10.09,19.76,,6.73,23.54,8.83,32.37,,6.622222,0.238889,15.333333,0.508,2.955556,77.661775
US_NC_37007,2020-01-08,ChIJPztYy0_wVIgRBsxmm62g0Oo,Q497830,geoId/37007,US,United States of America,NC,North Carolina,37007,Anson County,US,USA,2,,,,,,,24829,12931,11898,2585,2839,3558,3085,3134,3470,3247,1929,982,2528672,34.97,-80.1,1391,75.716667,,,,,,9.23,,10.99,7.91,10.11,30.77,,35.6,10.99,5.872222,-1.788889,16.177778,0.225778,-2.177778,56.754072
US_NC_37007,2020-01-09,ChIJPztYy0_wVIgRBsxmm62g0Oo,Q497830,geoId/37007,US,United States of America,NC,North Carolina,37007,Anson County,US,USA,2,,,,,,,24829,12931,11898,2585,2839,3558,3085,3134,3470,3247,1929,982,2528672,34.97,-80.1,1391,75.716667,,,,,6.98,10.91,7.42,20.08,9.16,8.73,29.24,10.47,51.5,14.84,5.844444,-1.516667,14.977778,0.0254,-2.577778,55.36611
US_NC_37007,2020-01-10,ChIJPztYy0_wVIgRBsxmm62g0Oo,Q497830,geoId/37007,US,United States of America,NC,North Carolina,37007,Anson County,US,USA,2,,,,,,,24829,12931,11898,2585,2839,3558,3085,3134,3470,3247,1929,982,2528672,34.97,-80.1,1391,75.716667,,,,,,10.39,,12.88,16.2,6.23,22.85,6.23,31.16,,9.666667,2.855556,16.9,0.0,4.738889,71.575052
US_NC_37007,2020-01-11,ChIJPztYy0_wVIgRBsxmm62g0Oo,Q497830,geoId/37007,US,United States of America,NC,North Carolina,37007,Anson County,US,USA,2,,,,,,,24829,12931,11898,2585,2839,3558,3085,3134,3470,3247,1929,982,2528672,34.97,-80.1,1391,75.716667,,,,,,,,14.64,7.08,8.5,28.34,,37.31,,17.283951,8.932099,22.777778,0.804333,15.012346,86.596492
